question,gold_answer,result_cleaned,result,sparql
"For the snooker players who participated in the 2002 Masters, sort them by their highest career ranking (lowest number first), and then by the number of Masters titles they had won by the end of the 2001/02 season (highest number first). How many Masters titles had the third player in this sorted list won by the end of the 2001/02 season",0,,,
Sort the Australian rules football clubs that were competing in the Victorian Football League in 1913 or 1944 by their total number of Victorian Football League or Australian Football League Grand Final losses from fewest to most. What is the number of Grand Final losses for the club that ranks second in this sorted list,13,,,
"Consider the number of rounds listed for drivers in the 2002 season who did not participate in all races, along with the number of rounds listed for practice drivers in the 2003 season. Sort these numbers from lowest to highest. What is the number at the eighth position in the sorted list",5,,,
Sort the people who worked for the Brentford football club and were born in or before 1956 by their birth year from oldest to youngest. What is the sum of the number of seasons the person who ranks second managed the club and the total appearances for the club by the player born in 1979,108,,,
"How many games involving the St. Louis Cardinals are summarized across the game results for the 1982 National League Championship Series, 2006 National League Championship Series, 2011 World Series, 2013 National League Championship Series, and 2011 National League Championship Series",29,0,"| totalGames  |
| ----------- |
| 0 (xsd:int) |","SELECT(SUM(?numGames) AS ?totalGames) WHERE {
  VALUES ?seriesLabel {
    ""1982 National League Championship Series"" @en ""2006 National League Championship Series"" @en ""2011 World Series"" @en ""2013 National League Championship Series"" @en ""2011 National League Championship Series"" @en
  }
  ?series rdfs:label ?seriesLabel .
  ?series wdt:P710 wd:Q166474 .
  ?series wdt:P2633 ?numGames .
}"
"Among the Melbourne-based Australian rules football teams Essendon, Hawthorn, Richmond, and Collingwood, sort them by the year of their most recent Grand Final appearance mentioned in the evidence from earliest to latest. What year does the second team in this sorted list belong to",2015,,,
"Sort the games played between the Los Angeles Dodgers and Philadelphia Phillies in the National League Championship Series for the years 1977, 1978, 2008, and 2009 by duration from shortest to longest. What was the attendance of the game with the fifth shortest duration",45839,,,"SELECT ?game ?attendance ?duration WHERE {
  VALUES ?yr {
    1977 1978 2008 2009
  }
  ?series wdt:P31 wd:Q1363275 ; wdt:P585 ?seriesDate .
  ?game wdt:P361 ?series ; wdt:P710 wd:Q334634 ; wdt:P710 wd:Q650840 ; wdt:P1126 ?attendance ; wdt:P2047 ?duration .
  FILTER(YEAR(?seriesDate) = ?yr)
}
ORDER BY ?duration"
"Sort the teams that have played against Collingwood in a Grand Final by the year of their first Grand Final appearance against Collingwood, from earliest to latest. What was the year of the first Grand Final against Collingwood for the team ranked fourth in this list",1926,,,"SELECT ?opponent(MIN(YEAR(?endTime)) AS ?firstYear) WHERE {
  ?season wdt:P31 wd:Q47258137 .
  ?season wdt:P582 ?endTime .
  {
    ?season wdt:P1346 wd:Q249679 .
    ?season wdt:P1347 ?opponent .
  } UNION {
    ?season wdt:P1347 wd:Q249679 .
    ?season wdt:P1346 ?opponent .
  }
  FILTER(?opponent != wd:Q249679)
}
GROUP BY ?opponent
ORDER BY ?firstYear
OFFSET 3
LIMIT 1"
"Sort the players who participated in the 2002 Masters snooker competition by their year of birth from oldest to youngest, and then alphabetically by last name for those with the same year of birth. What is the year of birth of the sixth player in this sorted list",1974,Alan McManus|1971|McManus,"| player                    | birthYear      | familyName            |
| ------------------------- | -------------- | --------------------- |
| Alan McManus (wd:Q543675) | 1971 (xsd:int) | McManus (wd:Q1904337) |","SELECT ?player ?birthYear ?familyName WHERE {
  ?player wdt:P1344 wd:Q2070302 ; wdt:P31 wd:Q5 ; wdt:P569 ?birthDate ; wdt:P734 ?familyName .
  BIND(YEAR(?birthDate) AS ?birthYear)
}
ORDER BY ASC(?birthYear) ASC(?familyName)
OFFSET 5
LIMIT 1"
Sort the attendance figures for all games played between the Pittsburgh Pirates and the Cincinnati Reds in the National League Championship Series from 1972 through 1979 from highest to lowest. What is the attendance figure for the fifth game in this sorted list,52420,,,"SELECT ?attendance WHERE {
  ?series wdt:P361 wd:Q1363275 ; wdt:P710 wd:Q653772 ; wdt:P710 wd:Q826751 ; wdt:P585 ?seriesDate .
  ?game wdt:P361 ?series ; wdt:P1110 ?attendance ; wdt:P585 ?gameDate .
  FILTER(YEAR(?seriesDate) >= 1972 && YEAR(?seriesDate) <= 1979)
}
ORDER BY DESC(?attendance)
LIMIT 1
OFFSET 4"
