row_index,filename,reason
0,00000.json,stderr_sidecar_exists
1,00001.json,stderr_sidecar_exists
2,00002.json,stderr_sidecar_exists
3,00003.json,stderr_sidecar_exists
4,00004.json,stderr_sidecar_exists
5,00005.json,stderr_sidecar_exists
6,00006.json,stderr_sidecar_exists
7,00007.json,stderr_sidecar_exists
8,00008.json,stderr_sidecar_exists
9,00009.json,stderr_sidecar_exists
10,00010.json,stderr_sidecar_exists
11,00011.json,stderr_sidecar_exists
12,00012.json,stderr_sidecar_exists
13,00013.json,stderr_sidecar_exists
14,00014.json,stderr_sidecar_exists
15,00015.json,stderr_sidecar_exists
16,00016.json,stderr_sidecar_exists
17,00017.json,stderr_sidecar_exists
18,00018.json,stderr_sidecar_exists
19,00019.json,stderr_sidecar_exists
20,00020.json,stderr_sidecar_exists
21,00021.json,stderr_sidecar_exists
22,00022.json,stderr_sidecar_exists
23,00023.json,stderr_sidecar_exists
24,00024.json,stderr_sidecar_exists
25,00025.json,stderr_sidecar_exists
26,00026.json,stderr_sidecar_exists
27,00027.json,stderr_sidecar_exists
28,00028.json,stderr_sidecar_exists
29,00029.json,stderr_sidecar_exists
30,00030.json,stderr_sidecar_exists
31,00031.json,stderr_sidecar_exists
32,00032.json,stderr_sidecar_exists
33,00033.json,stderr_sidecar_exists
34,00034.json,stderr_sidecar_exists
35,00035.json,stderr_sidecar_exists
36,00036.json,stderr_sidecar_exists
37,00037.json,stderr_sidecar_exists
38,00038.json,stderr_sidecar_exists
39,00039.json,stderr_sidecar_exists
40,00040.json,stderr_sidecar_exists
41,00041.json,stderr_sidecar_exists
42,00042.json,stderr_sidecar_exists
43,00043.json,stderr_sidecar_exists
44,00044.json,stderr_sidecar_exists
45,00045.json,stderr_sidecar_exists
46,00046.json,stderr_sidecar_exists
47,00047.json,stderr_sidecar_exists
48,00048.json,stderr_sidecar_exists
49,00049.json,stderr_sidecar_exists
50,00050.json,stderr_sidecar_exists
51,00051.json,stderr_sidecar_exists
52,00052.json,stderr_sidecar_exists
53,00053.json,stderr_sidecar_exists
54,00054.json,stderr_sidecar_exists
55,00055.json,stderr_sidecar_exists
56,00056.json,stderr_sidecar_exists
57,00057.json,stderr_sidecar_exists
58,00058.json,stderr_sidecar_exists
59,00059.json,stderr_sidecar_exists
60,00060.json,stderr_sidecar_exists
61,00061.json,stderr_sidecar_exists
62,00062.json,stderr_sidecar_exists
63,00063.json,stderr_sidecar_exists
64,00064.json,stderr_sidecar_exists
65,00065.json,stderr_sidecar_exists
66,00066.json,stderr_sidecar_exists
67,00067.json,stderr_sidecar_exists
68,00068.json,stderr_sidecar_exists
69,00069.json,stderr_sidecar_exists
70,00070.json,stderr_sidecar_exists
71,00071.json,stderr_sidecar_exists
72,00072.json,stderr_sidecar_exists
73,00073.json,stderr_sidecar_exists
74,00074.json,stderr_sidecar_exists
75,00075.json,stderr_sidecar_exists
76,00076.json,stderr_sidecar_exists
77,00077.json,stderr_sidecar_exists
78,00078.json,stderr_sidecar_exists
79,00079.json,stderr_sidecar_exists
80,00080.json,stderr_sidecar_exists
81,00081.json,stderr_sidecar_exists
82,00082.json,stderr_sidecar_exists
83,00083.json,stderr_sidecar_exists
84,00084.json,stderr_sidecar_exists
85,00085.json,stderr_sidecar_exists
86,00086.json,stderr_sidecar_exists
87,00087.json,stderr_sidecar_exists
88,00088.json,stderr_sidecar_exists
89,00089.json,stderr_sidecar_exists
90,00090.json,stderr_sidecar_exists
91,00091.json,stderr_sidecar_exists
92,00092.json,stderr_sidecar_exists
93,00093.json,stderr_sidecar_exists
94,00094.json,stderr_sidecar_exists
95,00095.json,stderr_sidecar_exists
96,00096.json,stderr_sidecar_exists
97,00097.json,stderr_sidecar_exists
98,00098.json,stderr_sidecar_exists
99,00099.json,stderr_sidecar_exists
100,00100.json,stderr_sidecar_exists
101,00101.json,stderr_sidecar_exists
102,00102.json,stderr_sidecar_exists
103,00103.json,stderr_sidecar_exists
104,00104.json,stderr_sidecar_exists
105,00105.json,stderr_sidecar_exists
106,00106.json,stderr_sidecar_exists
107,00107.json,stderr_sidecar_exists
108,00108.json,stderr_sidecar_exists
109,00109.json,stderr_sidecar_exists
110,00110.json,stderr_sidecar_exists
111,00111.json,stderr_sidecar_exists
112,00112.json,stderr_sidecar_exists
113,00113.json,stderr_sidecar_exists
114,00114.json,stderr_sidecar_exists
115,00115.json,stderr_sidecar_exists
116,00116.json,stderr_sidecar_exists
117,00117.json,stderr_sidecar_exists
118,00118.json,stderr_sidecar_exists
119,00119.json,stderr_sidecar_exists
120,00120.json,stderr_sidecar_exists
121,00121.json,stderr_sidecar_exists
122,00122.json,stderr_sidecar_exists
123,00123.json,stderr_sidecar_exists
124,00124.json,stderr_sidecar_exists
125,00125.json,stderr_sidecar_exists
126,00126.json,stderr_sidecar_exists
127,00127.json,stderr_sidecar_exists
128,00128.json,stderr_sidecar_exists
129,00129.json,stderr_sidecar_exists
130,00130.json,stderr_sidecar_exists
131,00131.json,stderr_sidecar_exists
132,00132.json,stderr_sidecar_exists
133,00133.json,stderr_sidecar_exists
134,00134.json,stderr_sidecar_exists
135,00135.json,stderr_sidecar_exists
136,00136.json,stderr_sidecar_exists
137,00137.json,stderr_sidecar_exists
138,00138.json,stderr_sidecar_exists
139,00139.json,stderr_sidecar_exists
140,00140.json,stderr_sidecar_exists
141,00141.json,stderr_sidecar_exists
142,00142.json,stderr_sidecar_exists
143,00143.json,stderr_sidecar_exists
144,00144.json,stderr_sidecar_exists
145,00145.json,stderr_sidecar_exists
146,00146.json,stderr_sidecar_exists
147,00147.json,stderr_sidecar_exists
148,00148.json,stderr_sidecar_exists
149,00149.json,stderr_sidecar_exists
150,00150.json,stderr_sidecar_exists
151,00151.json,stderr_sidecar_exists
152,00152.json,stderr_sidecar_exists
153,00153.json,stderr_sidecar_exists
154,00154.json,stderr_sidecar_exists
155,00155.json,stderr_sidecar_exists
156,00156.json,stderr_sidecar_exists
157,00157.json,stderr_sidecar_exists
158,00158.json,stderr_sidecar_exists
159,00159.json,stderr_sidecar_exists
160,00160.json,stderr_sidecar_exists
161,00161.json,stderr_sidecar_exists
162,00162.json,stderr_sidecar_exists
163,00163.json,stderr_sidecar_exists
164,00164.json,stderr_sidecar_exists
165,00165.json,stderr_sidecar_exists
166,00166.json,stderr_sidecar_exists
167,00167.json,stderr_sidecar_exists
168,00168.json,stderr_sidecar_exists
169,00169.json,stderr_sidecar_exists
170,00170.json,stderr_sidecar_exists
171,00171.json,stderr_sidecar_exists
172,00172.json,stderr_sidecar_exists
173,00173.json,stderr_sidecar_exists
174,00174.json,stderr_sidecar_exists
175,00175.json,stderr_sidecar_exists
176,00176.json,stderr_sidecar_exists
177,00177.json,stderr_sidecar_exists
178,00178.json,stderr_sidecar_exists
179,00179.json,stderr_sidecar_exists
180,00180.json,stderr_sidecar_exists
181,00181.json,stderr_sidecar_exists
182,00182.json,stderr_sidecar_exists
183,00183.json,stderr_sidecar_exists
184,00184.json,stderr_sidecar_exists
185,00185.json,stderr_sidecar_exists
186,00186.json,stderr_sidecar_exists
187,00187.json,stderr_sidecar_exists
188,00188.json,stderr_sidecar_exists
189,00189.json,stderr_sidecar_exists
190,00190.json,stderr_sidecar_exists
191,00191.json,stderr_sidecar_exists
192,00192.json,stderr_sidecar_exists
193,00193.json,stderr_sidecar_exists
194,00194.json,stderr_sidecar_exists
195,00195.json,stderr_sidecar_exists
196,00196.json,stderr_sidecar_exists
197,00197.json,stderr_sidecar_exists
198,00198.json,stderr_sidecar_exists
199,00199.json,stderr_sidecar_exists
