question,sparql,result
What are the discovered bog bodies ?,"SELECT ?body ?label WHERE {
  ?body wdt:P31 wd:Q199414 .
  ?body rdfs:label ?label .
  FILTER(lang(?label) = 'en')
}","| body                                 | label                             |
| ------------------------------------ | --------------------------------- |
| Röst girl (wd:Q1233884)              | Röst girl (lang:en)               |
| Peiting Woman (wd:Q1294494)          | Peiting Woman (lang:en)           |
| Exloërmond Man (wd:Q1357323)         | Exloërmond Man (lang:en)          |
| Peat dog from Burlage (wd:Q1403337)  | Peat dog from Burlage (lang:en)   |
| Zweeloo Woman (wd:Q15883619)         | Zweeloo Woman (lang:en)           |
| ...                                  | ...                               |
| Yde Girl (wd:Q271964)                | Yde Girl (lang:en)                |
| Elling Woman (wd:Q272465)            | Elling Woman (lang:en)            |
| Girl of the Uchter Moor (wd:Q319162) | Girl of the Uchter Moor (lang:en) |
| Ballynahatty woman (wd:Q54870046)    | Ballynahatty woman (lang:en)      |
| Weerdinge Men (wd:Q927721)           | Weerdinge Men (lang:en)           |"
What are the existing deep fields ?,,
What are the bridges with a deck height of at least 200 meters ?,SELECT ?bridge WHERE { ?bridge wdt:P2793 ?clearance. ?clearance >= 200 },
Which power plants were at some point in time the largest power plant in the world ?,"SELECT ?powerPlant(MAX(?capacity) AS ?maxCapacity) WHERE {
  ?powerPlant wdt:P2109 ?capacity .
}
GROUP BY ?powerPlant",
What are the discovered ring galaxies ?,"SELECT ?galaxy WHERE {
  ?galaxy wdt:P31 wd:Q68434991
}",
What are the caves with a depth of at least 3.1km ?,"SELECT ?cave ?depth WHERE {
  ?cave wdt:P4511 ?depth .
  FILTER(STR(?depth) >= ""3100"")
}","| cave                                           | depth                |
| ---------------------------------------------- | -------------------- |
| Bullialdus (wd:Q1004491)                       | 3500.0 (xsd:decimal) |
| Deepspot (wd:Q100547484)                       | 45.0 (xsd:decimal)   |
| Tagansky Protected Command Point (wd:Q1009559) | 65.0 (xsd:decimal)   |
| Burckhardt (wd:Q1010421)                       | 4800.0 (xsd:decimal) |
| Abja 92 borehole (wd:Q101530757)               | 635.6 (xsd:decimal)  |
| ...                                            | ...                  |
| wd:Q99228696                                   | 319.0 (xsd:decimal)  |
| wd:Q99394037                                   | _:bn1200815          |
| Buada Lagoon (wd:Q997345)                      | 78.0 (xsd:decimal)   |
| Bay of Vlorë (wd:Q999082)                      | 51.0 (xsd:decimal)   |
| Bukhtarma Reservoir (wd:Q999142)               | 9.6 (xsd:decimal)    |"
What are geothermal power station with a capacity of at least 10 Mw ?,"SELECT ?powerStation ?capacity WHERE {
  ?powerStation wdt:P1083 ?capacity .
}
LIMIT 10",
What are all the sumo stables ?,"SELECT ?stable WHERE {
  ?stable wdt:P279 wd:Q10199793
}",
What are the tunnels with a length larger than 13 km ?,"SELECT ?tunnel(STR(?length) AS ?lengthValue) WHERE {
  wd:Q44377 wdt:P2043 ?length
}",
Which weapons are of the type battle riffles ?,"SELECT ?weapon WHERE {
  ?weapon wdt:P279 wd:Q1194268
}","| weapon                                    |
| ----------------------------------------- |
| Heckler & Koch HK417 (wd:Q1064917)        |
| Sako M23 (wd:Q110269207)                  |
| Mk 14 Enhanced Battle Rifle (wd:Q1184636) |
| Howa Type 64 (wd:Q1190940)                |
| Zastava M05N (wd:Q122987072)              |
| ...                                       |
| Saritch 308 (wd:Q7424140)                 |
| Sterling 7.62 (wd:Q7611357)               |
| Zastava M77 (wd:Q8067062)                 |
| Beretta BM 59 (wd:Q819134)                |
| AG-3 (wd:Q994157)                         |"
