question,gold_answer,KG answer,file_path
Who was the kit supplier for the D.C. United soccer club?,Adidas,Adidas AG,CompMix_table_simple_qa_00141.json
who was elected president of the united states in 1928,Herbert Hoover,presidency of Herbert Hoover,NQ_table_test_simple_00687.json
what is the genus of a bald eagle,Haliaeetus,Haliaeetus leucocephalus,NQ_table_test_simple_00302.json
Who Is the Creator of the Elite TV Series?,"Carlos Montero, Darío Madrona","Carlos Montero
Darío Madrona",CompMix_table_simple_qa_00134.json
Who Created by Elite Tv Series?,"Carlos Montero, Darío Madrona","Carlos Montero
Darío Madrona",CompMix_table_simple_qa_00089.json
chief ministers of tamil nadu mentioned on wikipedia,C. N. Annadurai | V.R. Nedunchezhiyan | M. Karunanidhi | M. G. Ramachandran | Janaki Ramachandran | J. Jayalalithaa | O. Panneerselvam | K. Palaniswami,"M. G. Ramachandran
C. N. Annadurai
O. Panneerselvam
V. N. Janaki
C. Rajagopalachari
Jayaram Jayalalithaa
Muthuvel Karunanidhi
K.Kamarajar
K. Palaniswami
M. K. Stalin",NQ_table_test_simple_00814.json
where was the super bowl 52 played at,"U.S. Bank Stadium, Minneapolis, Minnesota",U.S. Bank Stadium,NQ_table_test_simple_00465.json
Which is the national team of Salif Diao?,Senegal national football team,Senegal,CompMix_table_simple_qa_00007.json
Where was Hawaii Five-O filmed?,"Oahu, Hawaii",Hawaii,CompMix_table_simple_qa_00306.json
where can the mona lisa be found today,"Musée du Louvre, Paris","Salle des États, Louvre",NQ_table_test_simple_00190.json
who won the ncaa women's championship last year 2017,South Carolina Gamecocks,2016–17 South Carolina Gamecocks women's basketball team,NQ_table_test_simple_00488.json
what is the official slogan for the 2018 winter olympics,Passion. Connected.,Passion. Connected. (lang:en),NQ_table_test_simple_00349.json
the actual name of the confederate force at gettysburg was,Confederate States Army,Military forces of the Confederate States (lang:en),NQ_table_test_simple_00300.json
What is the original title of the novel The Alchemist?,O Alquimista,O Alquimista (lang:pt),CompMix_table_simple_qa_00184.json
What is the country of origin of the The Little Prince?,United States of America,"France
United States",CompMix_table_simple_qa_00202.json
What is the prequel to the movie Mad Max Beyond Thunderdome?,Mad Max 2,Mad Max: Fury Road,CompMix_table_simple_qa_00204.json
list of local government area in benue state,Ado | Agatu | Apa | Buruku | Gboko | Guma | Gwer East | Gwer West | Katsina-Ala | Konshisha | Kwande | Logo | Makurdi | Obi | Ogbadibo | Ohimini | Oju | Okpokwu | Otukpo | Tarka | Ukum | Ushongo | Vandeikya,"Guma
Gboko
Agatu
Otukpo
Obi
...
Okpokwu
Tarka
Ukum
Ushongo
Vandeikya",NQ_table_test_simple_00340.json
Who is the spouse of Rudyard Kipling?,Caroline Starr Balestier Kipling,Caroline Starr Balestier,CompMix_table_simple_qa_00235.json
Names of married partner madonna?,Guy Ritchie;Sean Penn,"Guy Ritchie
Sean Penn",CompMix_table_simple_qa_00114.json
What country does the soccer player Johan Cruyff represent?,Netherlands,|Kingdom of the Netherlands,CompMix_table_simple_qa_00229.json
What awards are national quality award ?,Canada Awards for Excellence | Deming Prize | EFQM Excellence Award | Malcolm Baldrige National Quality Award | Philippine Quality Award | Rajiv Gandhi National Quality Award | Singapore Business Excellence Awards | Thailand Quality Award,"Malcolm Baldrige National Quality Award
Rajiv Gandhi National Quality Award
Viet Nam National Quality Award",Qampari_wikitables_simple_00010.json
Initial movie in The Hobbit film series?,The Hobbit: An Unexpected Journey,The Hobbit: The Desolation of Smaug,CompMix_table_simple_qa_00030.json
Who is or was a member of the 10cc band ?,"Graham Gouldman | Paul Burgess | Rick Fenn | Eric Stewart | Laurence ""Lol"" Creme | [[Tony OMalley (musician)|Tony OMalley]] | Vic Emerson | Gary Wallis | Mike Stevens","Iain Hornal
Lol Creme
Kevin Godley
Mike Stevens
Paul Burgess
Graham Gouldman
Eric Stewart
Stuart Tosh
Duncan Mackay
Rick Fenn",Qampari_wikitables_simple_00015.json
What was the subtitle of the book Jane Eyre?,An Autobiography,An Autobiography (lang:en),CompMix_table_simple_qa_00311.json
where does the saskatchewan river start and end,"Saskatchewan Glacier, Alberta | Saskatchewan River Forks, Saskatchewan","North Saskatchewan River|Lake Winnipeg
South Saskatchewan River|Lake Winnipeg",NQ_table_test_simple_00509.json
when does the nba season end this year,"April 11, 2018",April,NQ_table_test_simple_00769.json
which is the lion's mane jellyfish's species within its genus,C. capillata,Cyanea capillata,NQ_table_test_simple_00410.json
Which museums are dedicated to chocolate ?,Musée de chocolat Jacques | Chocolala Chocolate Museum | Cadbury World | Imhoff-Schokoladenmuseum | Halloren Schokoladenmuseum | Museum of Chocolate (Pokrov) | Museu de la Xocolata | Republic of Chocolate | [[Hersheys Chocolate World]] | The Hershey Story | Candy Americana Museum | Choco-Story New York,"Schokoladenmuseum Dresden|
The Chocolate Museum|
Choco-Story Brussels|
Hershey's Chocolate World|
Chocolate Museum|
Chocolate Factory E.Wedel museum|
Belgian Chocolate Village|
Choco-Story Prague|
Museum of Russian Chocolate History|
Choco-Story Bruges|",Qampari_wikitables_simple_00072.json
who sings the song let me love you,DJ Snake featuring Justin Bieber,"DJ Snake
Justin Bieber",NQ_table_test_simple_00474.json
What is Luis Suárez National Team?,"Uruguay Olympic football team, Uruguay national football team",Uruguay,CompMix_table_simple_qa_00173.json
who wrote there's a guy works down the chip shop lyrics,Kirsty MacColl | Philip Rambow,Kirsty MacColl|Kirsty MacColl (lang:en),NQ_table_test_simple_00472.json
who was on the first season of dwts,Trista Sutter | Evander Holyfield | Rachel Hunter | Joey McIntyre | John O'Hurley | Kelly Monaco,"Rachel Hunter
Louis Van Amstel
Evander Holyfield
John O'Hurley
Ashly DelGrosso
...
Alec Mazo
Charlotte Jørgensen
Edyta Śliwińska
Jonathan Roberts
Joey McIntyre",NQ_table_test_simple_00018.json
Which type of The Scarlet Letter genre?,"Romantic, Historical","historical fiction
romantic fiction",CompMix_table_simple_qa_00006.json
What military medals are the highest medal in a country ?,Cross to the Heroic Valour in Combat | The Victoria Cross for Australia | The Victoria Cross of Canada | The Valour Cross | The Legion of Honour | The Cross of Honour for Valour | Param Vir Chakra | Medal of Valor | Military Medal | The Victoria Cross for New Zealand | The War Cross with Sword | Order of Virtuti Militari | Hero of the Russian Federation | Order of St. George | Laureate Cross of Saint Ferdinand | The Victoria Cross | Medal of Honor | The Gold Cross of Zimbabwe,"Washington Law Enforcement Medal of Honor|Washington Law Enforcement Medal of Honor (lang:en)
Medal of Honor|Medal of Honor (lang:en)
Victoria Cross|Victoria Cross (lang:en)",Qampari_wikitables_simple_00014.json
cast of a nightmare on elm street 1984,John Saxon | Ronee Blakley | Heather Langenkamp | Amanda Wyss | Nick Corri | Johnny Depp | Robert Englund,"Heather Langenkamp|Heather Langenkamp (lang:en)
Amanda Wyss|Amanda Wyss (lang:en)
Joseph Whipp|Joseph Whipp (lang:en)
Ronee Blakley|Ronee Blakley (lang:en)
Jsu Garcia|Jsu Garcia (lang:en)
...|...
Johnny Depp|Johnny Depp (lang:en)
Lin Shaye|Lin Shaye (lang:en)
John Saxon|John Saxon (lang:en)
Joe Unger|Joe Unger (lang:en)
Charles Fleischer|Charles Fleischer (lang:en)",NQ_table_test_simple_00639.json
what are the band members names of the rolling stones,Mick Jagger | Keith Richards | Charlie Watts | Ronnie Wood,"Colin Golding
Mick Jagger
Keith Richards
Brian Jones
Ronnie Wood
...
Ian Stewart
Carlo Little
Darryl Jones
Ricky Fenson
Dick Taylor",NQ_table_test_simple_00230.json
What is Billie Eilish's medical condition?,"Tourette syndrome, synesthesia","synesthesia
Tourette syndrome
depression",CompMix_table_simple_qa_00288.json
panda is a national animal of which country,China,People's Republic of China,NQ_table_test_simple_00738.json
Selena Gomez's music genre?,"pop rock, electropop, dance-pop","electropop
dance-pop
pop music
pop rock
alternative R&B
contemporary R&B",CompMix_table_simple_qa_00015.json
