question,gold_answer,result_cleaned,result,sparql
What was Bob Bradley's previous job before he took the job as the head coach of the United States men's national soccer team,Head coach of Chivas USA,"Los Angeles FC (lang:en)
Swansea City A.F.C. (lang:en)
Red Bull New York (lang:en)
Stabæk Fotball (lang:en)
Egypt men's national football team (lang:en)
Chicago Fire FC (lang:en)
Toronto FC (lang:en)
Le Havre AC (lang:en)
Chivas USA (lang:en)","| teamLabel                                    |
| -------------------------------------------- |
| Los Angeles FC (lang:en)                     |
| Swansea City A.F.C. (lang:en)                |
| Red Bull New York (lang:en)                  |
| Stabæk Fotball (lang:en)                     |
| Egypt men's national football team (lang:en) |
| Chicago Fire FC (lang:en)                    |
| Toronto FC (lang:en)                         |
| Le Havre AC (lang:en)                        |
| Chivas USA (lang:en)                         |","SELECT ?teamLabel WHERE {
  wd:Q442325 wdt:P6087 ?team .
  ?team rdfs:label ?teamLabel .
  FILTER(LANG(?teamLabel) = 'en')
  FILTER(?team != wd:Q164134)
}"
What is the actor's name from the TV series The Big Bang Theory who also starred in the movie School for Scoundrels,Jim Parsons,Jim Parsons,"| actor                    |
| ------------------------ |
| Jim Parsons (wd:Q190972) |","SELECT ?actor WHERE {
  wd:Q8539 wdt:P161 ?actor .
  wd:Q959876 wdt:P161 ?actor
}"
Who is the director of the first part The Curse of the Black Pearl  in the flim Pirates of the Caribbean,Gore Verbinski,Gore Verbinski,"| director                    |
| --------------------------- |
| Gore Verbinski (wd:Q295463) |","SELECT ?director WHERE {
  wd:Q46717 wdt:P57 ?director
}"
What is the name of the football player who won the player of the season title in 2021 for Barnsley F.C,Michał Helik,,,"SELECT ?player ?playerLabel WHERE {
  ?player wdt:P191 wd:Q19442 ; wdt:P1890 ?award .
  ?award rdfs:label ?awardLabel .
  FILTER(LANGMATCHES(LANG(?awardLabel) , ""en""))
  .
  FILTER(CONTAINS(LCASE(?awardLabel) , ""efl league one player of the season""))
  .
  FILTER(CONTAINS(LCASE(?awardLabel) , ""2020-2021""))
  .
  ?player rdfs:label ?playerLabel .
  FILTER(LANGMATCHES(LANG(?playerLabel) , ""en""))
}"
In which year did the American sitcom series Will & Grace return for another three seasons after ending in 2006,2017,2017,"| year           |
| -------------- |
| 2017 (xsd:int) |","SELECT(YEAR(?start_date) AS ?year) WHERE {
  ?season wdt:P179 wd:Q212135 .
  ?season wdt:P577 ?start_date .
  FILTER(YEAR(?start_date) > 2006)
}
ORDER BY ?start_date
LIMIT 1"
What year did the American sitcom series Will & Grace return for three more seasons after the original run ended,2017,,,"SELECT(YEAR(?firstBroadcast) AS ?year) WHERE {
  wd:Q212135 wdt:P527 ?season .
  ?season wdt:P571 ?firstBroadcast .
  FILTER(YEAR(?firstBroadcast) > 2006)
}
ORDER BY ?firstBroadcast
LIMIT 1"
Which player was awarded the most number of Man of the match titles in the FIFA world cup of 2006,Andrea Pirlo,,,"SELECT ?player(COUNT(?match) AS ?count) WHERE {
  wd:Q37285 wdt:P527 ?match .
  ?match p:P710 [ ps:P710 ?player ; pq:P3831 ""Man of the Match"" @en ]
}
GROUP BY ?player
ORDER BY DESC(?count)"
How many movies were in the Die Hard series before A Good Day to Die Hard came out in 2013,4,15,"| count        |
| ------------ |
| 15 (xsd:int) |","SELECT(COUNT(?movie) AS ?count) WHERE {
  ?movie wdt:P31 wd:Q11424 .
  ?movie wdt:P179 wd:Q2716420 .
  ?movie wdt:P577 ?releaseDate .
  FILTER(?releaseDate < ""2013-01-01"" ^^ xsd:date)
}"
How many John le Carré novels featured the character George Smiley after The Spy Who Came in from the Cold,6,0,"| count       |
| ----------- |
| 0 (xsd:int) |","SELECT(COUNT(?novel) AS ?count) WHERE {
  wd:Q209641 wdt:P50 ?novel .
  ?novel wdt:P31 wd:Q5707509 .
  ?novel wdt:P2245 wd:Q2335880 .
  ?novel wdt:P577 ?pubdate .
  FILTER(YEAR(?pubdate) > 1963)
}"
How many appearance did the American goalkeeper Sean Johnson make with the US men's national soccer team in 2011,1,0,"| count       |
| ----------- |
| 0 (xsd:int) |","SELECT(COUNT(*) AS ?count) WHERE {
  ?match wdt:P1923 wd:Q204 .
  ?match wdt:P1560 wd:Q2458826 .
  ?match wdt:P585 ?date .
  FILTER(YEAR(?date) = 2011)
}"
"When was the original version of the song I am not a woman, I’m a god released in USA","August 31, 2021",,,"SELECT ?release_date WHERE {
  wd:Q108822278 wdt:P577 ?release_date
}"
According to the 11 Nov 2021 result who called the most capped player in Brazil Nation Football Team,Cafu,,,"SELECT ?player ?label ?caps WHERE {
  ?player wdt:P5088 wd:Q252 ; wdt:P1145 ?caps .
  ?player rdfs:label ?label .
  FILTER(LANG(?label) = 'en')
}
ORDER BY DESC(?caps)
LIMIT 1"
"What is the name of the ghostwriter of the first book in the Hardy Boys series, The Tower Treasure",Leslie McFarlane,Leslie McFarlane|Leslie McFarlane (lang:en),"| author                          | authorLabel                |
| ------------------------------- | -------------------------- |
| Leslie McFarlane (wd:Q14767574) | Leslie McFarlane (lang:en) |","SELECT ?author ?authorLabel WHERE {
  wd:Q23541148 wdt:P50 ?author .
  ?author rdfs:label ?authorLabel .
  FILTER(LANG(?authorLabel) = 'en')
}"
What is the total number of appearances made by Marco Reus as of 2021 for the club Borussia Dortmund,332,294.0,"| appearances         |
| ------------------- |
| 294.0 (xsd:decimal) |","SELECT ?appearances WHERE {
  wd:Q152377 p:P54 ?statement .
  ?statement ps:P54 wd:Q41420 .
  ?statement pq:P1350 ?appearances .
}"
"Before A Good Day to Die Hard's release in 2013, how many movies were in the Die Hard series",4,4,"| count       |
| ----------- |
| 4 (xsd:int) |","SELECT(COUNT(DISTINCT ?movie) AS ?count) WHERE {
  ?movie wdt:P31 wd:Q11424 ; wdt:P179 wd:Q2716420 ; wdt:P577 ?releasedate .
  FILTER(?releasedate < ""2013-01-01"" ^^ xsd:date)
}"
What is the name of the book that comes after the book Killing Floor in the Jack Reacher series,Die Trying,Die Trying (lang:en),"| title                |
| -------------------- |
| Die Trying (lang:en) |","SELECT ?title WHERE {
  wd:Q5274452 rdfs:label ?title .
  FILTER(LANG(?title) = 'en')
  .
}"
"What year was it on Earth in the last novel of The Chronicles of Narnia series, The Last Battle",1949,1956-09-04T00:00:00Z,"| publicationYear                     |
| ----------------------------------- |
| 1956-09-04T00:00:00Z (xsd:dateTime) |","SELECT ?publicationYear WHERE {
  wd:Q289130 wdt:P577 ?publicationYear .
}"
How many goals did Pat Healey make in the 2008 season when he was playing for Crystal Palace Baltimore,8,,,"SELECT ?goals WHERE {
  wd:Q7143535 p:P2643 ?statement .
  ?statement ps:P2643 wd:Q1142391 .
  ?statement pq:P585 ?qualifier .
  ?qualifier pqn:P585 ?timeValue .
  FILTER(STRSTARTS(STR(?timeValue) , ""2008""))
  ?statement ps:P3494 ?goals .
}"
Who is the character that Robin ends up marrying in the last season of How I Met Your Mother,Barney Stinson,Barney Stinson,"| spouse                      |
| --------------------------- |
| Barney Stinson (wd:Q838512) |","SELECT ?spouse WHERE {
  wd:Q2347474 wdt:P26 ?spouse .
}"
"What is the name of the first episode of the first season of the series, Buffy the Vampire Slayer",Welcome to the Hellmouth,,,"SELECT ?episodeLabel WHERE {
  wd:Q183513 wdt:P4908 ?season .
  ?season wdt:P154 1 .
  ?season wdt:P361 ?episode .
  ?episode rdfs:label ?episodeLabel .
  FILTER(lang(?episodeLabel) = ""en"" && ?episodeLabel = ""Welcome to the Hellmouth"")
}"
Which 2009 first person shooter game did Lance Henriksen who was Frank Black in Millennium did voice work for,Call of Duty: Modern Warfare 2,,,"SELECT ?game ?gameLabel WHERE {
  ?game wdt:P31 wd:Q788921 ; wdt:P136 wd:Q1642925 ; wdt:P161 wd:Q312077 ; wdt:P577 ?pubDate .
  FILTER(YEAR(?pubDate) = 2009)
  SERVICE wikibase:label {
    bd:serviceParam wikibase:language ""en"" .
  }
}"
What were the demographics of black people in Memphis Tennessee when If Beale Street Could Talk was written,38.9%,,,"SELECT ?population WHERE {
  wd:Q16563 p:P1082 ?statement .
  ?statement ps:P1082 ?population .
  ?statement pq:P585 ?date .
  FILTER(year(?date) = 1974)
}"
What is the name of the 2012 movie that fetched Meryl Streep an Oscar for the best actress,The Iron Lady,,,"SELECT DISTINCT ?movie ?movieLabel WHERE {
  wd:Q873 p:P166 ?awardStatement .
  ?awardStatement ps:P166 wd:Q10493 .
  ?awardStatement pq:P1346 ?movie .
  ?awardStatement pq:P585 ?awardDate .
  FILTER(YEAR(?awardDate) = 2012)
  OPTIONAL {
    ?movie rdfs:label ?movieLabel .
    FILTER(LANG(?movieLabel) = ""en"")
  }
}"
When was released the song I'm Your Angel in United States in the format of Contemporary hit radio,13 October 1998,1998-11-09T00:00:00Z,"| date                                |
| ----------------------------------- |
| 1998-11-09T00:00:00Z (xsd:dateTime) |","SELECT ?date WHERE {
  wd:Q4922282 wdt:P577 ?date .
}"
What is the name of the actress who won the Academy Award in 2014 instead of Sandra Bullock,Cate Blanchett,,,"SELECT ?winner ?winnerLabel WHERE {
  wd:Q13419956 p:P166 ?statement .
  ?statement ps:P166 ?winner .
  ?statement pq:P1627 wd:Q103618 .
  SERVICE wikibase:label {
    bd:serviceParam wikibase:language ""en"" .
  }
}"
Director of the first part The Curse of the Black Pearl  in the flim Pirates of the Caribbean,Gore Verbinski,Gore Verbinski (lang:en),"| directorLabel            |
| ------------------------ |
| Gore Verbinski (lang:en) |","SELECT ?directorLabel WHERE {
  wd:Q46717 wdt:P57 ?director .
  ?director rdfs:label ?directorLabel .
  FILTER(LANG(?directorLabel) = ""en"")
}"
The American goalkeeper Sean Johnson played how many game for the US men's national soccer team in 2011,1,0,"| count       |
| ----------- |
| 0 (xsd:int) |","SELECT(COUNT(?match) AS ?count) WHERE {
  wd:Q2458826 p:P2557 [ ps:P2557 ?match ; pq:P585 ?date ; pq:P114 wd:Q36946 ] .
  FILTER(SUBSTR(STR(?date) , 1 , 4) = ""2011"")
}"
Who is the screenwriter  of the second part Dead Man's Chest in the flim Pirates of the Caribbean,Terry Rossio,"Terry Rossio
Ted Elliott","| screenwriter              |
| ------------------------- |
| Terry Rossio (wd:Q942914) |
| Ted Elliott (wd:Q943506)  |","SELECT ?screenwriter WHERE {
  wd:Q161087 wdt:P58 ?screenwriter
}"
When was the song Easy on Me released in United States in the format of Adult contemporary radio,18 October 2021,2021-10-15T00:00:00Z,"| date                                |
| ----------------------------------- |
| 2021-10-15T00:00:00Z (xsd:dateTime) |","SELECT ?date WHERE {
  wd:Q108805763 wdt:P577 ?date .
}"
"Who was the head coach for CF Montréal soccer team from August 10, 2011 to November 3, 2012",Jesse Marsch,"Jesse Marsch|Jesse Marsch (lang:en)
Nick De Santis|Nick De Santis (lang:en)","| coach                       | coachLabel               |
| --------------------------- | ------------------------ |
| Jesse Marsch (wd:Q1336179)  | Jesse Marsch (lang:en)   |
| Nick De Santis (wd:Q538521) | Nick De Santis (lang:en) |","SELECT ?coach ?coachLabel WHERE {
  wd:Q167615 p:P286 ?statement .
  ?statement ps:P286 ?coach .
  ?statement pq:P580 ?start .
  ?statement pq:P582 ?end .
  FILTER(?start <= ""2012-11-03"" ^^ xsd:date)
  FILTER(?end >= ""2011-08-10"" ^^ xsd:date)
  OPTIONAL {
    ?coach rdfs:label ?coachLabel .
    FILTER(lang(?coachLabel) = ""en"")
  }
}"
What is the FIFA organization that was founded in Mexico City and currently includes all of North America,CONCACAF,Mexico City (lang:en),"| locationLabel         |
| --------------------- |
| Mexico City (lang:en) |","SELECT ?locationLabel WHERE {
  wd:Q160549 wdt:P740 ?location .
  ?location rdfs:label ?locationLabel .
  FILTER(lang(?locationLabel) = 'en')
}"
What is the name of the model who won the first cycle of America's Next Top Model,Adrianne Curry,Adrianne Curry,"| winner                      |
| --------------------------- |
| Adrianne Curry (wd:Q234423) |","SELECT ?winner WHERE {
  wd:Q977854 wdt:P1346 ?winner .
}"
What is the name of the movie released in 2004 did the singer Chris Martin appear in,Shaun of the Dead,,,"SELECT DISTINCT ?film ?filmLabel WHERE {
  wd:Q712860 p:P161 ?statement .
  ?statement ps:P161 ?film .
  ?film wdt:P577 ?releaseDate .
  FILTER(STRSTARTS(STR(?releaseDate) , ""2004-""))
  OPTIONAL {
    ?film rdfs:label ?filmLabel .
    FILTER(LANG(?filmLabel) = ""en"")
  }
}"
What is the name of the football club that Oliver Kahn played for in the year 2001,FC Bayern Munich,"FC Bayern Munich|FC Bayern Munich (lang:en)
Germany men's national association football team|Germany men's national association football team (lang:en)","| club                                                         | clubLabel                                                  |
| ------------------------------------------------------------ | ---------------------------------------------------------- |
| FC Bayern Munich (wd:Q15789)                                 | FC Bayern Munich (lang:en)                                 |
| Germany men's national association football team (wd:Q43310) | Germany men's national association football team (lang:en) |","SELECT ?club ?clubLabel WHERE {
  wd:Q131261 p:P54 ?statement .
  ?statement ps:P54 ?club .
  ?statement pq:P580 ?start .
  ?statement pq:P582 ?end .
  FILTER(YEAR(?start) <= 2001 && YEAR(?end) >= 2001)
  OPTIONAL {
    ?club rdfs:label ?clubLabel .
    FILTER(lang(?clubLabel) = ""en"")
  }
}"
"Who is the screen writer of The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Christopher Markus,"Ann Peacock
Andrew Adamson
Christopher Markus
Stephen McFeely","| screenwriter                     |
| -------------------------------- |
| Ann Peacock (wd:Q12912984)       |
| Andrew Adamson (wd:Q432845)      |
| Christopher Markus (wd:Q5112818) |
| Stephen McFeely (wd:Q5933887)    |","SELECT ?screenwriter WHERE {
  wd:Q485803 wdt:P58 ?screenwriter
}"
Who was the winner of the Nobel Prize in Literature the year Brave New World was published,John Galsworthy,,,"SELECT ?winner ?winnerLabel WHERE {
  ?award wdt:P31 wd:Q523183 ; wdt:P1343 wd:Q11424 ; wdt:P585 ?date .
  FILTER(YEAR(?date) = 1932)
  .
  ?winner wdt:P166 ?award .
  ?winner rdfs:label ?winnerLabel .
  FILTER(LANG(?winnerLabel) = ""en"")
}"
Which player scored the most goals for the D.C. United during the 1996 Major League Soccer season,Raúl Díaz Arce,,,"SELECT ?player ?goals WHERE {
  ?player p:P161 [ ps:P161 wd:Q238593 ; pq:P407 wd:Q605251 ] .
  ?player p:P1351 [ ps:P1351 ?goals ; pq:P407 wd:Q605251 ] .
}
ORDER BY DESC(?goals)
LIMIT 1"
What is the name of the film directed and written by John Hughes in the year 1984,Sixteen Candles,,,"SELECT ?filmLabel WHERE {
  ?film wdt:P57 wd:Q311263 .
  ?film wdt:P50 wd:Q311263 .
  ?film wdt:P571 ?year .
  FILTER(YEAR(?year) = 1984)
  ?film rdfs:label ?filmLabel .
  FILTER(lang(?filmLabel) = 'en')
}"
What was the first movie that Mila Kunis who played Jackie on That '70s Show act in,Santa with Muscles,Santa with Muscles|Santa with Muscles (lang:en)|1996-01-01T00:00:00Z,"| film                             | filmLabel                    | released                            |
| -------------------------------- | ---------------------------- | ----------------------------------- |
| Santa with Muscles (wd:Q1631700) | Santa with Muscles (lang:en) | 1996-01-01T00:00:00Z (xsd:dateTime) |","SELECT ?film ?filmLabel ?released WHERE {
  ?film wdt:P161 wd:Q37628 .
  ?film wdt:P31 wd:Q11424 .
  ?film wdt:P577 ?released .
  ?film rdfs:label ?filmLabel .
  FILTER(LANG(?filmLabel) = 'en')
}
ORDER BY ASC(?released)
LIMIT 1"
What book set in Jazz Age considered to be a Great American Novel was written in 1925,The Great Gatsby,,"| book |
| ---- |","SELECT ?book WHERE {
  wd:Q214371 wdt:P31 wd:Q7725634 ; wdt:P577 ?pubDate .
  FILTER(YEAR(?pubDate) = 1925)
}"
What was the first show to win the Outstanding Multi-Camera Picture Editing for a Comedy Series award,The Adams Chronicles,How I Met Your Mother,"| show                               |
| ---------------------------------- |
| How I Met Your Mother (wd:Q147235) |","SELECT ?show WHERE {
  ?show wdt:P166 wd:Q30633707 .
  ?show p:P166 ?statement .
  ?statement ps:P166 wd:Q30633707 .
  ?statement pq:P585 ?year .
}
ORDER BY ASC(?year)
LIMIT 1"
What was the name of the actor who played Charlie in Willy Wonka and the Chocolate Factory,Peter Ostrum,,,"SELECT ?actor WHERE {
  wd:Q936327 p:P161 ?statement .
  ?statement ps:P161 ?actor .
  ?statement pq:P179 wd:Q4120021 .
}"
