question,gold_answer,KG answer,file_path
Which country did the US Women's National Team defeat to win the Women's World Cup in 2019,The Netherlands,Netherlands,ComplexQA/CompMix_infobox_complex/00027.json
what emperor took over france after the reign of terror,Napoleon Bonaparte,Napoleon,SimpleQA/NQ_table_test_simple/00858.json
Which national team was the runner up in FIFA World Cup 2018,Croatia national football team,Croatia men's national football team,ComplexQA/CompMix_table_complex/00255.json
What is the name of the character played by the actor Cillian Murphy in the series Peaky Blinders?,Tommy Shelby,"Thomas ""Tommy"" Shelby",SimpleQA/CompMix_table_simple_qa/00144.json
who was the first elected president of pakistan,Iskander Mirza,Iskandar Ali Mirza,SimpleQA/NQ_table_test_simple/00608.json
where was a time for choosing speech given,"Los Angeles County, California, U.S.",Los Angeles County,SimpleQA/NQ_table_test_simple/00165.json
What is the country of origin of theThe Velvet Underground  music Band,United States of America,United States,ComplexQA/CompMix_infobox_complex/00275.json
In which country was the novel The Stand by Stephen King published,United States of America,United States,ComplexQA/CompMix_table_complex/00246.json
What is the country of orign of the Godzilla vs. Kong movie,United States of America,United States,ComplexQA/CompMix_infobox_complex/00265.json
Which country of orgin for the tv series wizards of waverly place,United States of America,United States,ComplexQA/CompMix_infobox_complex/00267.json
What is the country of the orign of the Big star band,United States of America,United States,ComplexQA/CompMix_infobox_complex/00272.json
who founded amazon where is the headquarters of amazon,"Jeff Bezos | Seattle, Washington, U.S.",Jeff Bezos|Seattle,SimpleQA/NQ_table_test_simple/00169.json
Who was the kit supplier for the D.C. United soccer club?,Adidas,Adidas AG,SimpleQA/CompMix_table_simple_qa/00141.json
which is the lion's mane jellyfish's species within its genus,C. capillata,capillata,SimpleQA/NQ_table_test_simple/00410.json
who was elected president in mexico in 2000,Vicente Fox,Vicente Fox Quesada,SimpleQA/NQ_table_test_simple/00184.json
what is the current mac os operating system,10.13.4,13.6.9,SimpleQA/NQ_table_test_simple/00455.json
Which club was Neymar transferred to from the football club Barcelona?,Paris Saint-Germain F.C.,Paris Saint-Germain FC,SimpleQA/CompMix_table_simple_qa/00269.json
who won the ncaa women's championship last year 2017,South Carolina Gamecocks,South Carolina Gamecocks women's basketball,SimpleQA/NQ_table_test_simple/00488.json
where is the nfl game in london played,Wembley Stadium | Twickenham Stadium,Wembley Stadium|Tottenham Hotspur Stadium,SimpleQA/NQ_table_test_simple/00355.json
who was the king of england in 1756,George II,George II of Great Britain,SimpleQA/NQ_table_test_simple/00832.json
who won the ncaa basketball championship in 1994,Arkansas Razorbacks,Arkansas Razorbacks men's basketball,SimpleQA/NQ_table_test_simple/00661.json
