question,answer
What was Bob Bradley's previous job before he took the job as the head coach of the United States men's national soccer team?,Head coach of Chivas USA
What is the actor's name from the TV series The Big Bang Theory who also starred in the movie School for Scoundrels?,Jim Parsons
Who is the director of the first part The Curse of the Black Pearl  in the flim Pirates of the Caribbean?,Gore Verbinski
What is the name of the football player who won the player of the season title in 2021 for Barnsley F.C?,Michał Helik
In which year did the American sitcom series Will & Grace return for another three seasons after ending in 2006?,2017
What year did the American sitcom series Will & Grace return for three more seasons after the original run ended?,2017
Which player was awarded the most number of Man of the match titles in the FIFA world cup of 2006?,Andrea Pirlo
How many movies were in the Die Hard series before A Good Day to Die Hard came out in 2013?,4
How many John le Carré novels featured the character George Smiley after The Spy Who Came in from the Cold?,6
How many appearance did the American goalkeeper Sean Johnson make with the US men's national soccer team in 2011?,1
"When was the original version of the song ""I am not a woman, I’m a god"" released in USA?","August 31, 2021"
According to the 11 Nov 2021 result who called the most capped player in Brazil Nation Football Team ?,Cafu
"What is the name of the ghostwriter of the first book in the Hardy Boys series, The Tower Treasure?",Leslie McFarlane
What is the total number of appearances made by Marco Reus as of 2021 for the club Borussia Dortmund?,332
"Before A Good Day to Die Hard's release in 2013, how many movies were in the Die Hard series?",4
What is the name of the book that comes after the book Killing Floor in the Jack Reacher series?,Die Trying
"What year was it on Earth in the last novel of The Chronicles of Narnia series, The Last Battle?",1949
How many goals did Pat Healey make in the 2008 season when he was playing for Crystal Palace Baltimore?,8
Who is the character that Robin ends up marrying in the last season of How I Met Your Mother?,Barney Stinson
"What is the name of the first episode of the first season of the series, Buffy the Vampire Slayer?",Welcome to the Hellmouth
Which 2009 first person shooter game did Lance Henriksen who was Frank Black in Millennium did voice work for?,Call of Duty: Modern Warfare 2
What were the demographics of black people in Memphis Tennessee when If Beale Street Could Talk was written?,38.9%
What is the name of the 2012 movie that fetched Meryl Streep an Oscar for the best actress?,The Iron Lady
"When was released the song ""I'm Your Angel"" in United States in the format of Contemporary hit radio?",13 October 1998
What is the name of the actress who won the Academy Award in 2014 instead of Sandra Bullock?,Cate Blanchett
Director of the first part The Curse of the Black Pearl  in the flim Pirates of the Caribbean?,Gore Verbinski
The American goalkeeper Sean Johnson played how many game for the US men's national soccer team in 2011?,1
"Who is the screenwriter  of the second part ""Dead Man's Chest"" in the flim Pirates of the Caribbean?",Terry Rossio
"When was the song ""Easy on Me"" released in United States in the format of Adult contemporary radio?",18 October 2021
Did Olympique Lyonnais retained their league title when Megan Rapinoe was on their roster from 2013 to 2014?,Yes
"Who was the head coach for CF Montréal soccer team from August 10, 2011 to November 3, 2012?",Jesse Marsch
What is the FIFA organization that was founded in Mexico City and currently includes all of North America?,CONCACAF
What is the name of the model who won the first cycle of America's Next Top Model?,Adrianne Curry
What is the name of the movie released in 2004 did the singer Chris Martin appear in?,Shaun of the Dead
What is the name of the football club that Oliver Kahn played for in the year 2001?,FC Bayern Munich
"Who is the screen writer of The Chronicles of Narnia: The Lion, the Witch and the Wardrobe?",Christopher Markus
Who was the winner of the Nobel Prize in Literature the year Brave New World was published?,John Galsworthy
Which player scored the most goals for the D.C. United during the 1996 Major League Soccer season?,Raúl Díaz Arce
What is the name of the film directed and written by John Hughes in the year 1984?,Sixteen Candles
What was the first movie that Mila Kunis who played Jackie on That '70s Show act in?,Santa with Muscles
What book set in Jazz Age considered to be a Great American Novel was written in 1925?,The Great Gatsby
What was the first show to win the Outstanding Multi-Camera Picture Editing for a Comedy Series award?,The Adams Chronicles
What was the name of the actor who played Charlie in Willy Wonka and the Chocolate Factory?,Peter Ostrum
"What is the last album that was recorded by artist George Harrison, from the band the Beatles?",Brainwashed
How many World Cup titles the Italy national football team has before winning it again in 2006?,3
What number of appearances has Andrea Pirlo made for the football club New York City FC?,62
What year did the El Salvador national football team make their first FIFA World Cup appearance?,1970
"When was released the song ""Shape of You"" in United Kingdom in the digital download format?",10 February 2017
What was the other book to get the Newbery Honor in 2019 besides The Night Diary?,The Book of Boy
"When was released the song ""Into You"" in United States in the format of rhythmic contemporary?","June 28, 2016"
What has the home venue of the Kansas City Wizards been from 2011 to the present?,Children's Mercy Park
"Who is the director of The Chronicles of Narnia: The Lion, the Witch and the Wardrobe?",Andrew Adamson
What is the number of goals scored by Kylian Mbappé for France in the year 2018?,9
What is the award nominated for the tv series wizards of waverly place in year 2008?,Directors Guild of America Award for Outstanding Directing – Children's Programs
Which film by Clint Eastwood has won the maximum number of Academy Awards and BAFTA Awards?,Unforgiven
What is the name of the manager in 2017 of the soccer club Manchester United F.C.?,José Mourinho
Which movie did Samuel L. Jackson win a BAFTA award for best supporting actor in 1994?,Pulp Fiction
"What year was the book ""And to Think That I Saw It on Mulberry Street"" published?",1937
Who managed Norwich City F.C. when they were promoted to the English Premier League in 2021?,Daniel Farke
Which team promoted to the English Premier League for 2021-22 won the EFL Championship in 2021?,Norwich City F.C.
Which soccer player scored the second highest number of goals for the Poland national football team?,Włodzimierz Lubański
Which Clint Eastwood movie has won the most number of Academy Awards and BAFTA  Awards?,Unforgiven
Who was the shirt sponsor of the Chicago Fire Football Club in 2019 to present?,Motorola
Who was the captain of Manchester United F.C. when they won the 1999 FA cup?,Roy Keane
What is the film which won Cate Blanchett the Oscar for best actress in 2014?,Blue Jasmine
Which science fiction tv series did Charles Shaughnessy appeared in for one episode in 2004?,Stargate SG-1
Which football club was represented by the soccer player Raúl González in the year 2002?,Real Madrid
What was the name of the football club Mikel Arteta represented in the year 2003?,Rangers F.C.
Which soccer player scored the most number of goals in the UEFA Euro 2004 tournament?,Milan Baroš
In the 1998-1999 NBC Must See TV lineup which show directly preceded Will & Grace?,Friends
Who was the kit manufacturer from 2015 to present for New York City Football club?,Adidas
Who won the most Man of the match awards in the 2006 FIFA World Cup?,Andrea Pirlo
When did The United States Soccer Federation become affiliated and a full member with FIFA?,1914
"What award won the National Board of Review Awards in December 2, 2021 for ""Encanto""?",Best Animated Film
"When the song ""Cold Heart"" released in Italy in the format of Digital download streaming?",13 August 2021
Which movie did Steven Spielberg directed the same year as Catch Me If You Can?,Minority Report
How many goals did Pele scored for Brazil national football team in the year 1971?,1
Who was the top goal player as of 2021 in FIFA Beach Soccer World Cup?,Madjer
Who was the Kit manufacturer from 2012 to present for New England Revolution soccer club?,Adidas
"Who directs season 1 episode ""Welcome to Matheson"" in the tv series locke & key?",Michael Morris
What is the name of the club Wayne Rooney played for in the year 2003?,Everton F.C.
What is the name of the football club Iker Casillas represented in the year 2002?,Real Madrid Castilla
Who won the America's Next Top Model in the season next to Adrianne Curry's cycle?,Yoanna House
What is the  Award recieved in 2008 by the tv series wizards of waverly place?,Directors Guild of America Award for Outstanding Directing – Children's Programs
Which 1925 novel set in the Jazz age is hailed as a Great American Novel?,The Great Gatsby
"What is the name of the first movie in the series, Lord of the Rings?",The Lord of the Rings: The Fellowship of the Ring
What's the name of the 1960 psychological horror film produced and directed by Alfred Hitchcock?,Psycho
What is the name of the chef that won the Master Chef Australia season twelve?,Emelia Jackson
Who was the Manager of St Johnstone F.C. when they won the 2014 Scottish Cup?,Tommy Wright
"What year did the book The Cat in the Hat, by Dr Seuss come out?",1957
Director name of the first season “somebody’s dead” in the tv series Big Little Lies?,Jean-Marc Vallée
What is the Publication date of the Second book of the series His Dark Materials?,22 July 1997
Which book by John le Carré was the last to feature the character George Smiley?,A Legacy of Spies
What is the award received in 1990 for Most Promising Actress by Vanessa Paradis?,César Award
who won the best visual effects award in 2021 satellite award for Tenet movie?,Andrew Jackson
How many goals did Pele scored for New York Cosmos in the year 1975?,17
Which is the first book of the novel series Little House on the Prairie?,Little House in the Big Woods
What was the next feature film Robert Zemeckis directed after Back to the Future?,Who Framed Roger Rabbit
Which 1992 legal drama movie starring Tom Cruise that was written by Aaron Sorkin?,A Few Good Men
What year was the book Angry Blonde written by the rapper Eminem get published?,2000
