question,answer
"Who won the Best Actor award in the Los Angeles Film Critics Association Awards for the movie ""Taxi Driver""? Q47221",Robert De Niro
Lin-Manuel Miranda played the role of who in the musical Hamilton? Q28659892 Q19320959,Alexander Hamilton
what is the creator name of Trailer Park Boys series? Q1400775,Mike Clattenburg
Did Sigourney Weaver reprise her role as Ripley in any of the Alien sequels? Q96388493,Yes
What is the rank of album Funeral in LAS Magazine? Q526196 Q6457129,1
What is the name of the film that was the sequel to The Terminator ( movie? Q162255,Terminator 2: Judgment Day
Which type of The Scarlet Letter genre? Q907568,"Romantic, Historical"
Which is the national team of Salif Diao? Q350785,Senegal national football team
Who is the director of the TV series Hanna? Q48102683,Sarah Adina Smith
Did Paul Verhoeven direct all three RoboCop movies from the original trilogy? Q129079 Q2080591,No
What is the name of the one TV series directed by Stephen Sommers? Q363402,The Mummy
Name the character played by the actor Robin Williams in the play Waiting for Godot. Q83338 Q19871,Estragon
What country did Raúl González represent in football? Q11576,Spain
Who is the production company behind the TV series Locke & Key? Q56274745,IDW Publishing
who was the vocal artist of Toosie slide song? Q92748215,Drake
Selena Gomez's music genre? Q37073 Q211756 Q83287,"pop rock, electropop, dance-pop"
which period of using adidas kits at Manchester United F.C.? Q18656,2015;2021
Did John Prine win a Grammy for Fair & Square? Q520296 Q41254 Q5429755,Yes
Director of the movie lord of the rings? Q190214,Peter Jackson
who is Origin of the music Avenged Sevenfold ? Q165193,Huntington Beach
who is the publisher of Writers & Lovers book? Q96415602,Grove Press
Who is the Rose Patten Preceded by Chancellor of the University of Toronto? Q180865 Q58416650,Michael Wilson
What is the name of the album by The Police that won a Grammy award as well as a Juno award? Q178095 Q41254 Q507057,Synchronicity
Who was the distributor of the picture 12 Years as a Slave? Q1097348 Q3023357,"InterCom, ProVideo, Netflix"
What is the name of the original broadcaster in Game of Thrones? Q23572,HBO
With whom did Dove Cameron collaborate on Taste of You? Q26186223,Rezz
what is the length of love me like you do song? Q18758167,4:13
what is the notable work by the Composer Tan Dun? Q314176,The First Emperor
Who is the main character in the film Shawshank Redemption? Q48337,Tim Robbins
Who is the author of the Eragon book? Q185449,Christopher Paolini
Initial movie in The Hobbit film series? Q74331,The Hobbit: An Unexpected Journey
Who played the character of Krishna of Goloka in RadhaKrishn? Q56485183 Q42891 Q1335949,Himanshu Soni
Which national team does Robert Lewandowski captain? Q151269,Poland
"Who won the Best Film Editing award in Academy Awards for the movie ""The Matrix""? Q83495",Zach Staenberg
"Director's name for the initial four ""Scream"" movies? Q388659",Wes Craven
Who played teenage Martha in Dark? Q28443710,Lisa Vicari
Which is the notable work of the Amit V. Masurkar? Q28914756,Newton (film)
Which nation did Raúl González play soccer for? Q11576,Spain
Who was the guitarist of Madonna? Q855091,philanthropist
Who is the voice actor of the character of Lois Griffin? Q853073,Alex Borstein
Who is the current head coach of Chicago Fire? Q308683,Ezra Hendrickson
who was the director for the Movie Batman v Superman: Dawn of Justice? Q14772351,Zack Snyder
who is the fitness coach of Argentina national football team ? Q79800,Luis Martín
Budget of Titanic movie? Q44578,$200 million
Peaky Blinders web series is from? Q14944179,United Kingdom
What is the name of the actress who played teenage Martha in Dark? Q28443710,Lisa Vicari
What is the name of the director of Passengers? Q20962283,Morten Tyldum
"Did Tom Tom Club's song ""Genius of Love"" reach No. 1 position on any Billboard charts? Q5533282",Yes
The Need of Love was on which music charts? Q3988450,Billboard
what is the Nick name of Man united? Q18656,Red Devils
Did Neil Grayston appear in Psych? Q1139494 Q48758,Yes
Who is the Skyfall movie's hero? Q4941,Daniel Craig
What was the name of author who wrote Things Fall Apart? Q622400,Chinua Achebe
Which are the teams participated in the inaugural UEFA Championship? Q260858,Soviet Union; Yugoslavia; Czechoslovakia; France
what is the rank of amazon music Blinding Lights song? Q76566134,3
What is kylian mbappé current soccer team? Q21621995,Paris Saint-Germain F.C.
What is the box office collection of the movie Oblivion? Q638544,$287.9 million
What awards did A Wrinkle in Time win? Q24301388,St. Louis Film Critics Awards
Argentina national football team captain? Q1492 Q170645,2018 FIFA World Cup
Which is the 2nd novel of Mulk Raj Anand? Q732434,Coolie
Who is the Head coach of the Real Madrid CF? Q8682,Carlo Ancelotti
which country of origin of the Nineteen Eighty-Four  Book? Q208460,United Kingdom
What id the position of Brazil chart Blank Space song? Q18441355,74
What is the budget of Titanic? Q44578,$200 million
Who was the commander of that mission? Q757035,Yury Lonchakov
Did Nathan Fillion play in Buffy? Q342549 Q183513,Yes
What was the name of English Singer who performed in Toosie Slide? Q89324673,Drake
who directs the tv series Squid Game? Q106582931,Hwang Dong-hyeok
Who was the kit manufacturer of the Columbus Crew Soccer Club? Q457163,Adidas
What album followed Red Medicine? Q971672,End Hits
What is Metacritic rating of Sour? Q106316694 Q150248,83/100
Did Sandra Bullock win an Academy Award for best actress for the movie Gravity? Q40791 Q13419956,No
What is the Mohamed Salah sport number? Q1354960,11
What is the score of album Demi on Metacritic? Q9343810 Q150248,64/100
What is the name of the actor playing the character of Bill Compton in the TV series True Blood? Q186219 Q1771309,Stephen Moyer
which award win the Best Supporting Actor role Birds of Prey movie? Q57177410,Hollywood Critics Association Midseason Awards
What is the award nominated for Best Actress? Q24241,César Award for Best Actress
What is the current soccer team of kylian mbappé? Q21621995,Paris Saint-Germain F.C.
Did Josh Duhamel act in Las Vegas TV series? Q19794 Q752234,Yes
What is the rating given by Entertainment Weekly to the album Confident? Q20886070 Q275033,B+
What is the budget of Rise of the Planet of the Apes movie? Q243983,$93 million
What is the rating given by Metacritic to the album Confident? Q20886070 Q150248,74/100
which position of Brazil country chart Bad Blood  song? Q19892111,60
What is the name of the role played by actor Hugh Grant in the Bridget Jones series? Q27657001 Q163286,Daniel Cleaver
What award did Ellen DeGeneres receive for playing Dory with the category Favorite Animated Movie Voice? Q483325 Q20823008,People's Choice Award
who is win the favorite Bad Boys for Life of people choice awards win? Q29021224,Will Smith
What country's national team does Alessandro Del Piero play for? Q624,Italy
What is the name of the actor cast opposite Rachel Weisz in the film Constantine? Q134077 Q219150,Keanu Reeves
Who is the director of the film Encanto? Q103372692,Jared Bush
Who Created by Elite Tv Series? Q53000974 Q64691960,"Carlos Montero, Darío Madrona"
In which superhero film did Ludi Lin played a character named Murk? Q21290349,Aquaman
What movie is the sequel of Ocean's Eleven? Q205447,Ocean's Twelve
What division does Paris Saint-Germain Féminine belong to? Q3365295,Division 1 Féminine
Origin of the band Avenged Sevenfold? Q165193,Huntington Beach
Who is the director of the movie lord of the rings? Q190214,Peter Jackson
What novel did Charles Dickens wrote that preceded Oliver Twist? Q5686,The Pickwick Papers
What is the length of the Brutal song of Sour album? Q106316694 Q107123213,2:23
The film Everything Sucks belongs to which country? Q39070182,United States
who is the  shirt sponsors sponsor of RB Leipzig  team? Q702455,Red Bull
Author of the book the Jane Eyre? Q127332,Charlotte Brontë
Who is the head coach of Orlando City SC? Q15214308,Óscar Pareja
Who is the youngest player playing for Germany National Football Team? Q43310,Kai Havertz
What is the rating on Entertainment Weekly of the album Funeral? Q526196 Q275033,B+
Actor Behind Joseph Cooper in Interstellar? Q13417189,Matthew McConaughey
What costume designer received an Oscar nomination for working on the film Airport? Q409022 Q234961 Q234961,Edith Head
What is the rating of album Punisher on The A.V. Club? Q96419213,A-
Name the actor playing the role of Ethan Burke in the TV series Wayward Pines? Q16867394,Matt Dillon
"Who won the Best Film Music award in the 26th British Academy Film Awards for the movie ""The Godfather""? Q47703",Nino Rota
"Who won the best director award in Saturn award for""Jurassic Park""? Q167726",Steven Spielberg
What is the rating of album Punisher on Metacritic? Q96419213,90/100
Is Sirius Black a member of Prisoner of Azkaban in harry potter? Q713701 Q47598,Yes
What member of the San Jose Earthquakes won the Landon Donovan MVP Award in 201? Q575370 Q94494,Chris Wondolowski
Who was the cinematographer on A Wrinkle in Time? Q24301388,Tobias A. Schliessler
Who played Joseph Cooper in Interstellar? Q13417189,Matthew McConaughey
Names of married partner madonna? Q1744,Guy Ritchie;Sean Penn
What nation did Fabio Cannavaro represent in soccer? Q102027,Italy
which awards win Favorite Movie Actor	in Dolittle  movie? Q38689704,Kids' Choice Awards
What is the duration of song Kyoto of the album Punisher? Q96419213,3:04
Who played role of Jayce Talis in Arcane? Q85518571,Kevin Alejandro
Who played the character of Sevika in Arcane? Q85518571,Amirah Vann
Who is the director tv series Alice in Borderland? Q103967305,Shinsuke Sato
Who was the head coach of the Charlotte Football Club? Q78944434,Miguel Ángel Ramírez
What is the current soccer team of Neymar? Q142794,Paris Saint-Germain F.C
Who played the character of Hannah Kahnwald as Adult in Dark? Q28443710,Maja Schöne
No. of goals did Kevin De Bruyne scored for Belgium national football team? Q357984,23
Which RoboCop original trilogy movies featured Peter Weller as Robocop? Q2080591 Q360477,RoboCop;RoboCop 2
Who Directs the TV series Hanna? Q48102683,Sarah Adina Smith
who is the manager of Rayo Vallecano team? Q10300,Andoni Iraola
Who is the lead drummer of the band U2? Q396,Larry Mullen Jr.
who is the singer of Starboy song? Q27000439,The Weeknd
"Which actor portrayed Uncle Phil on the ""Fresh Prince of Bel-Air?"" Q309063",James Avery
What movie fetched the actor Sean Connery an Academy Award? Q4573 Q19020,The Untouchables
What is the birth place of Justin Bieber? Q34086,London
which time period of using Adidas kits in Manchester united ? Q18656,2015;2021
Who Is the Creator of the Elite TV Series? Q53000974 Q64691960,"Carlos Montero, Darío Madrona"
who is the director of FC Barcelona team? Q7156,Mateu Alemany
Who writes the book the Jane Eyre? Q127332,Charlotte Brontë
What is the name of the role played by Michael C. Hall in the TV show Six Feet Under? Q203268 Q216919,David Fisher
What is the country of origin of the Black Beauty book? Q4920353,United States of America
What is the genre of Homeland Elegies book? Q105082070,Fiction
Who played the role of Jonas Kahnwald as teen in Dark? Q28443710,Louis Hofmann
