question,answer
How many times since 2000 have the NBA finals ended in four games?,[3]
for how many years since 1999 has Tom Cruise been in two or more movies in the same year?,[3]
"Who has more career rushing yards, Curtis Martin or Clinton Portis?",['Curtis Martin']
What percentage of films that won the Oscar for Best Director also won Best Picture?,[68.75]
Which country has provided the most foreign-born players to the current Bundesliga teams?,['France']
What percentage of Rob Zombie directed films are starring his wife?,[90.9090909090909]
how many foreign-born directors have won an Oscar in the past 20 years?,[9]
What was the most recent movie in the Western genre to win the Academy Award for Best Picture?,['No Country for Old Men']
How many academy award winners for best female actress were born in a non-English speaking country?,[11]
How many total games have the Atlanta Braves won combined in their last two World Series appearances?,[4.0]
What percentage of governors in the United States are women?,[24.0]
What percentage of Oscar winning actors and actresses has had at least one divorce?,[60.95238095238095]
"What percentage of European Union member states were never controlled, in whole or in part, by the Roman Empire?",[29.62962962962963]
Which European country's government currently has the highest proportion of women in ministerial positions?,['Albania']
What is the average weight of Super Bowl-winning defensive tackles since 2010?,[149.71589076923078]
Which Bachelor winners have actually resulted in marriages that lasted more than 2 years with the actual Bachelor who chose them on tv?,['Catherine Giudici']
"Was there ever a Swedish King or Queen Regent who have been married more than three times? If so, please list their names",['None']
Which female artist has won the most Album of the Year Grammy awards since 2005?,['Taylor Swift']
Which decade saw the introduction of the greatest number of female superheroes in both Marvel and DC comics combined?,['1980s']
What is the difference between the average life expectancy in the ten countries with the lowest GDP and the ten countries with the highest GDP?,[-13.821222222222218]
What percentage of the time was the Oscar winner for Best Actress older than the Oscar winner for Best Actor over the past thirty years?,[33.333333333333336]
Which country is home to the most recipients of the Nobel Prize for Literature in the 21st century?,['France']
How many times since the 1980s was a former NBA #1 draft pick released or traded by the team that selected him after  his first year of playing with the team?,[3]
Have more Australians won the French open singles than Americans (men and women)?,['no']
Which racial group in Cuba has seen the greatest growth proportionally over the last five census?,['White']
How many percent higher is the average democracy index of Scandinavian countries compared to the average index in the Balkans?,[77.75875597403525]
Which country in the EU has the third largest population?,['Italy']
How many prime ministers has Barbados had since 1973?,[7]
What is the largest soccer stadium in Israel?,['Teddy Stadium']
What percentage of US presidents elected after 1899 were born in the southern states ?,[27.272727272727273]
How many games does the Tekken franchise have?,[11]
Which of the current Big 13 tech firms has the youngest CEO?,['Meta']
How many of the thirty US cities with highest murder rates are headed by Republicans?,[2]
When was the last time an American tennis player had won the French Open singles tournament for men?,[1999.0]
"Since 2015, what has been the percentage of top 5 NBA drafted players to average more than 15 points in their rookie season?",[32.0]
What percentage of Films directed by Steven Spielberg had a worldwide box office performance of over $ 300 million ?,[50.0]
which country in East Africa has the youngest population?,['Uganda']
Which country outside of the OECD has the highest HDI?,['Singapore']
who are the top executives in charge of managing theme parks for Disney?,"[""Josh D'Amaro""]"
how many novels that are set outside of America have won a Pulitzer Prize for Fiction since 2013?,[1]
Which Latin American country has had the highest increase in life expectancy since 2000?,['Haiti']
"Which TV show, currently on Amazon Prime, contains the largest number of Latinx actresses (named and credited)?",['El juego de las llaves']
"Which country has had more deaths from COVID, France or Portugal?",['France']
How many years ago did serena Williams last win the Australian open ?,[7.0]
What is the average age of the current WNBA general managers?,[53.0]
How many NBA coaches have won an NBA championship both as players and as a coach?,[13]
how many left leaning Prime Ministers has Canada had in the 21st century?,[3]
Who was the third oldest person ever appointed Italian prime minister?,['Paolo Boselli']
When did the LA Sparks last win a championship?,[2016.0]
"Since 2000, how many Academy Award Best Films have been based on a novel?",[4]
In which year did Kendrick Lamar have the most BET Hip Hop award nominations?,['2013']
What percentage of seats in the parliament of El Salvador does the ruling party currently hold?,[66.66666666666667]
"Given the population growth rate of Venezuela remains the same, what is their expected population in 30 years?",[52491407.2]
what percentage of US supreme court justices throughout history did not attend an ivy league school for their postgraduate degree?,[70.08547008547009]
"Historically, name the percentage of US supreme court judges that attended an Ivy League school for their bachelor degree (BA)?",[35.8974358974359]
How many Tom Cruise films up until 2022 have grossed over 100 million dollars?,[34]
Which Eastern Baltic languages have more than 2 million speakers?,['Lithuanian']
What is the average height of the Dallas Mavericks NBA team players ?,[1.998]
Are there more Michelin Star restaurants in New York or in California?,['California']
what percent of Coachella headliners in the past 5 years have been non-US citizens?,[45.45454545454545]
"Who had more Super Bowl wins, Los Angeles Rams or San Francisco 49ers?",['San Francisco 49ers']
What is the average age of all the cast in the original Broadway opening of Rent?,[52.25]
"Which country has a smaller percentage of its citizens vaccinated against COVID with at least one dose, Nigeria or Ethiopia?",['Ethiopia']
Which percentage of Diane Keaton's movies feature her in a role where someone calls her mother?,[39.285714285714285]
Are there more men or women living in Sudan?,['men']
how many wars has Britain lost in the last 300 years?,[22]
How many countries have had more than ten different Grand Slam singles champions?,[5]
How many head coaches have won NBA finals with more than three teams?,[0]
Which US president had the highest budget deficit over the past 15 years?,['Joe Biden']
Which City currently has more Michelin rated eateries New York or Paris?,['Paris']
"How many years, since its independence, has Israel been governed by non-Left wing coalition governments?",[41.824999999999996]
How many leaders did the Israeli Labour party have over the past 7 years?,[4]
What NFL quarterback is the second oldest in the league?,['Aaron Rodgers']
In how many states did the SPD have a greater than 6 percent vote share over the second-leading party in the most recent German federal election?,[8]
How many TV shows starred both Kristen Bell and her husband?,[4]
Of NBA all time scoring leaders what is the percentage of forwards?,[50.0]
How many years older was the oldest prime minister of Finland than its youngest?,[39.934246575342456]
How many years have passed since the current president of El Salvador has assumed office?,[3.589041095890411]
"Since the 2000s, which NFL team has had the most Heisman Trophy winners as its players?",['Baltimore Ravens']
"At his current career average of points per game, assuming he plays every game of each season, how many seasons would it take until Stephen Curry is in the top ten all time in scoring?",[1.839594807238395]
How many political parties participated in the most recent election in Sierra Leone?,[13]
Which of the seven largest European Union countries has had the highest proportion of members of parliament from left-wing parties over the past ten years?,['Sweden']
"How many Inside the NBA hosts and analysts, past and present, are former NBA champions?",[10]
How many movies has Dakota Fanning appeared in with her sister?,[2]
"What is the percentage of foreign born individuals out of the notable musician alumni of Stanford, Harvard and Yale combined?",[15.652173913043478]
What has been the growth rate of the Asian American community since 2000?,[101.81767778772628]
For how many years has Sweden been governed by the Social Democrats over the past 40 years?,[30]
How many HBO series and miniseries has Nina Gold been casting director for?,[6]
"Given the current population trends in Japan stay the same, what is their expected population in 17 years?",[115944219.3]
"Using the most recent available figures, does Apple or Microsoft have a higher revenue per employee?",['Apple']
Which US state is the birthplace of the greatest number of NBA players who have led the league in scoring?,['New York']
Which European union country has had the highest average voter turnout in its past five legislative elections?,['Malta']
what percentage of Lebron's teams that reached the NBA Finals also held the number 1 seed in their conference?,[30.0]
The life expectancy in Trinidad and Tobago is how many years lower compared to the US ?,[-5.530000000000001]
How many presidential candidates have been re-elected in Romania since the fall of Communism?,[3]
What is the average age of US vice-presidents when they assume office?,[54.375]
which midwestern US state has the most representatives in the US House?,['Illinois']
What's the percentage of Academy Award winning directors who went to Tisch?,[11.267605633802816]
What's the average age of the main cast of Euphoria?,[29.46153846153846]
"Which country party has the highest percentage of parliament seats held by separatist parties, out of Spain, Belgium and Italy?",['Belgium']
Which African country has the highest number of political parties represented in its parliament (or lower house)?,['Guinea']
At what point in the past decade did Israel's parliament have the greatest number of different parties represented with at least one seat?,['2022']
"What is the age difference between New Zealand's incumbent prime minister, and her predecessor?",[18.0]
Does the largest city in Senegal have more than two million residents?,['No']
What is total population living in Balkan states?,[59924705.0]
"Out of the previous five prime ministers of Malta, how many belonged to left-wing parties?",[3]
How many women are part of the Slovenian government?,[7]
In which year during the last 20 did the Billboard year-end hot 100 singles contain the most songs from female artists?,['2022']
"Of all the players currently on the Memphis Grizzlies, which ones played at Murray State?","['Morant, Ja (S)']"
How many European countries have a longer life expectancy than Hungary?,[40]
what has been the smallest margin of victory in a French presidential election during the post-war period?,[1.62]
With which other South American countries does Bolivia currently have tense or hostile relations?,['Chile']
What percentage of Coachella headliners have been rock bands?,[48.0]
How many films about wars that occurred after 1950 have won the Best Picture Academy Award?,[3]
How many members of the Chicago Bulls roster were actually born in Illinois?,[2]
which Asian nation does Australia have the largest trading deficit (smallest balance) with?,['South Korea']
how many Republican senators are there in the US congress from states that touch the Mexican border?,[2]
How much of its GDP does the oldest country in the world (population wise) spend on education?,['1.50%']
"Which NBA Player more frequently missed free throw tries, Damon Stoudamire or James Harden?",['Damon Stoudamire']
How many films directed by Quentin Tarantino were not in the horror genre?,[11]
which university outside the ivy league is affiliated with the greatest number of Nobel laureates?,['University of Cambridge']
How many more Grammy awards has the rock band Foo Fighters won compared to the rock band U2 ?,[-6]
How many incumbent NFL head coaches have been fired from three or more different teams since 2000?,[1]
Which director has won the most Golden Globe Awards without ever winning an Oscar?,['Sidney Lumet']
How much longer is the London Underground than its Overground?,[235.0]
How many of the 20 most recent NBA MVPs have been over two meters in height?,[12]
In terms of life expectancy how many years do French women live longer than men?,[6.200000000000003]
"Of all NBA players who won finals MVP, list only those with career averages higher than the median in both points, assists and rebounds",['Bob Pettit']
How many Pulitzer Prize-winning playwrights were born in New York City?,[18]
What is the political ideology of the current Namibian president's party?,['Socialism with Namibian characteristics']
What's the percentage of Puerto Ricans out of the top fifty MLB career hitters of all time?,[4.0]
How many years in total have left-wing parties headed the government of France since the establishment of the Fourth Republic?,[35.867999999999995]
How many Canadian prime ministers served non-consecutive terms in that role (i.e. in the manner similar to that of Grover Cleveland or Winston Churchill)?,[4]
How many of the last 30 Booker award winning novels were set in South Africa?,[2]
"Out of the ten most recent Poets Laureate of the United States, how many have been women?",[5]
Who was the youngest QB to win an MVP?,['Lamar Jackson']
What is the ratio of cats to dogs in White House pets since 93?,[0.3333333333333333]
Which Pirates of the Caribbean movie had the highest budget?,['On Stranger Tides']
what percentage of the movies that won the Oscar Best Foreign Language Film have been in French?,[28.0]
Does the popular American breakfast restaurant cracker barrel have more locations than the breakfast restaurant Denny's ?,['No']
Who played James Bond in the Bond movie that was most viewed in the cinemas?,['Daniel Craig']
