source_row_id,question,gold_answer,KG answer,file_path,taxonomy_label,LLM explanation,difference_severity
0,Who was the kit supplier for the D.C. United soccer club?,Adidas,Adidas AG,SimpleQA/CompMix_table_simple_qa/00141.json,Same,"Both answers identify Adidas as the kit supplier. 'Adidas AG' is the full legal name, but 'Adidas' is the standard common name used for this context. The core fact (the company name) is identical, and the additional 'AG' does not alter the meaning or introduce new information relevant to the question.",none
12,who won the ncaa women's championship last year 2017,South Carolina Gamecocks,South Carolina Gamecocks women's basketball,SimpleQA/NQ_table_test_simple/00488.json,Same,"Both answers identify South Carolina Gamecocks as the winner. The KG answer adds 'women's basketball' which is redundant given the question specifies 'women's championship' but does not alter the core fact. The difference is purely in wording, not meaning or factual content.",none
29,who won the ncaa basketball championship in 1994,Arkansas Razorbacks,Arkansas Razorbacks men's basketball|Arkansas Razorbacks men's basketball (lang:en),SimpleQA/NQ_table_test_simple/00661.json,Same,"The Gold answer 'Arkansas Razorbacks' is the standard reference for the 1994 NCAA men's basketball champion. The KG answer adds 'men's basketball' which is redundant in context (NCAA basketball championship implies men's) but does not alter the core fact. The difference is purely in wording, not meaning or accuracy.",none
43,Who Created by Elite Tv Series?,"Carlos Montero, Darío Madrona","Carlos Montero|Carlos Montero (lang:en)
Darío Madrona|Darío Madrona (lang:en)",SimpleQA/CompMix_table_simple_qa/00089.json,Same,"Both answers list the exact same creators: Carlos Montero and Darío Madrona. The KG answer includes redundant language tags and a pipe separator, but the core factual content is identical. No meaningful difference exists in the creators' names.",none
44,Who Is the Creator of the Elite TV Series?,"Carlos Montero, Darío Madrona","Carlos Montero|Carlos Montero (lang:en)
Darío Madrona|Darío Madrona (lang:en)",SimpleQA/CompMix_table_simple_qa/00134.json,Same,The answers list identical creators: Carlos Montero and Darío Madrona. The KG answer includes minor formatting (language tags and pipe separators) but contains no additional or conflicting facts. Core semantic meaning and factual content are fully equivalent.,none
62,who has the most green jackets from the masters,Jack Nicklaus (6),Jack Nicklaus|Jack Nicklaus (lang:en)|6,SimpleQA/NQ_table_test_simple/00071.json,Same,Both answers correctly identify Jack Nicklaus as having 6 green jackets. The KG answer includes an irrelevant language tag (lang:en) which is purely formatting metadata and does not alter the core factual content. The difference is insignificant for the question's intent.,none
81,what was the name of two vocal artist of Rain on Me,"Lady Gaga,Ariana Grande","Ariana Grande (lang:en)
Lady Gaga (lang:en)",ComplexQA/CompMix_infobox_complex/00228.json,Same,"Both answers list the same two artists: Lady Gaga and Ariana Grande. The KG answer includes a language tag (lang:en) which is a formatting detail and does not alter the core fact. The order of names differs but is ignored per guidelines. No factual, completeness, or precision differences exist.",none
85,Which country does Johan Cruyff play football for?,Netherlands,Kingdom of the Netherlands,SimpleQA/CompMix_table_simple_qa/00191.json,Same,"The answers are semantically equivalent. 'Netherlands' is the common name, while 'Kingdom of the Netherlands' is the official full name. Both unambiguously refer to the same country Johan Cruyff represented. The difference is purely in formality, not factual content or completeness.",none
89,What is the total number of episodes in the TV series New Girl,146,146.0,ComplexQA/CompMix_infobox_complex/00167.json,Same,"Both answers represent the same episode count of 146. The KG answer uses a decimal format (146.0) which is semantically equivalent to the integer 146 for counting episodes. This is a formatting difference only, with no change in factual meaning or precision. The episode count is a fixed value with no time sensitivity.",none
104,What is the total number of episodes in the TV series Vikings,89,89.0,ComplexQA/CompMix_infobox_complex/00196.json,Same,"Both answers represent the exact same numerical value (89 episodes). The KG answer uses a float format (89.0) while the Gold uses an integer, but this is a purely formatting difference with no semantic or factual distinction. The core fact is identical and complete.",none
