question,gold_answer,result_cleaned,result,sparql
What are the discovered bog bodies ?,Elling Woman | Grauballe Man | Haraldskær Woman | Huldremose Woman | Tollund Man | Kayhausen Boy | Osterby Man | Cashel Man | Gallagh Man | Old Croghan Man | Weerdinge Men | Yde Girl | Lindow Woman | Lindow Man | Cladh Hallan Skeletons,"Röst girl|Röst girl (lang:en)
Peiting Woman|Peiting Woman (lang:en)
Exloërmond Man|Exloërmond Man (lang:en)
Peat dog from Burlage|Peat dog from Burlage (lang:en)
Zweeloo Woman|Zweeloo Woman (lang:en)
...|...
Yde Girl|Yde Girl (lang:en)
Elling Woman|Elling Woman (lang:en)
Girl of the Uchter Moor|Girl of the Uchter Moor (lang:en)
Ballynahatty woman|Ballynahatty woman (lang:en)
Weerdinge Men|Weerdinge Men (lang:en)","| bogBody                              | bogBodyLabel                      |
| ------------------------------------ | --------------------------------- |
| Röst girl (wd:Q1233884)              | Röst girl (lang:en)               |
| Peiting Woman (wd:Q1294494)          | Peiting Woman (lang:en)           |
| Exloërmond Man (wd:Q1357323)         | Exloërmond Man (lang:en)          |
| Peat dog from Burlage (wd:Q1403337)  | Peat dog from Burlage (lang:en)   |
| Zweeloo Woman (wd:Q15883619)         | Zweeloo Woman (lang:en)           |
| ...                                  | ...                               |
| Yde Girl (wd:Q271964)                | Yde Girl (lang:en)                |
| Elling Woman (wd:Q272465)            | Elling Woman (lang:en)            |
| Girl of the Uchter Moor (wd:Q319162) | Girl of the Uchter Moor (lang:en) |
| Ballynahatty woman (wd:Q54870046)    | Ballynahatty woman (lang:en)      |
| Weerdinge Men (wd:Q927721)           | Weerdinge Men (lang:en)           |","SELECT ?bogBody ?bogBodyLabel WHERE {
  ?bogBody wdt:P31 wd:Q199414 .
  ?bogBody rdfs:label ?bogBodyLabel .
  FILTER(LANG(?bogBodyLabel) = 'en')
  .
}"
What are the existing deep fields ?,Hubble Deep Field | Hubble Deep Field South | Chandra Deep Field South | Hubble Ultra-Deep Field | Hubble Ultra-Deep Field (UV/VIS/NIR) | Hubble Legacy Field,"Hubble Deep Field South|Hubble Deep Field South (lang:en)
Chandra Deep Field South|Chandra Deep Field South (lang:en)
Hubble Ultra-Deep Field|Hubble Ultra-Deep Field (lang:en)
Hubble Legacy Field|Hubble Legacy Field (lang:en)
Chandra Deep Field North|Chandra Deep Field North (lang:en)
Hubble Deep Field|Hubble Deep Field (lang:en)","| deepField                               | label                              |
| --------------------------------------- | ---------------------------------- |
| Hubble Deep Field South (wd:Q1117262)   | Hubble Deep Field South (lang:en)  |
| Chandra Deep Field South (wd:Q2948586)  | Chandra Deep Field South (lang:en) |
| Hubble Ultra-Deep Field (wd:Q429670)    | Hubble Ultra-Deep Field (lang:en)  |
| Hubble Legacy Field (wd:Q63614385)      | Hubble Legacy Field (lang:en)      |
| Chandra Deep Field North (wd:Q63697278) | Chandra Deep Field North (lang:en) |
| Hubble Deep Field (wd:Q741255)          | Hubble Deep Field (lang:en)        |","SELECT ?deepField ?label WHERE {
  ?deepField wdt:P31 wd:Q16537358 .
  ?deepField rdfs:label ?label .
  FILTER(LANG(?label) = 'en')
}"
What are the bridges with a deck height of at least 200 meters ?,Chenab Bridge | Mtentu Bridge | Duge Bridge | Sidu River Bridge | Hegigio Gorge Pipeline Bridge | Beipan River Guanxing Highway Bridge | Liuguanghe Bridge | Royal Gorge Bridge | [[Sidi MCid Bridge]],,,"SELECT ?bridge WHERE {
  ?bridge wdt:P31 wd:Q184197 ; wdt:P2793 ?clearance .
  ?clearance wikibase:quantityAmount ?value .
  FILTER(?value >= 200)
}"
Which power plants were at some point in time the largest power plant in the world ?,Vemork | Sir Adam Beck Station I | Hoover Dam | Volga Hydroelectric Station | Bratsk Hydroelectric Power Station | Guri Dam | Three Gorges Dam,"Western Green Energy Hub|50000.0
Riyadh Power Plant 9|5980.0
Sasan Ultra Mega Power Project|3960.0
Huolinhe Zhanute power station|3040.0
Bellwether Wind Farm|3000.0","| plant                                          | capacity              |
| ---------------------------------------------- | --------------------- |
| Western Green Energy Hub (wd:Q109255372)       | 50000.0 (xsd:decimal) |
| Riyadh Power Plant 9 (wd:Q11998015)            | 5980.0 (xsd:decimal)  |
| Sasan Ultra Mega Power Project (wd:Q11999601)  | 3960.0 (xsd:decimal)  |
| Huolinhe Zhanute power station (wd:Q137964931) | 3040.0 (xsd:decimal)  |
| Bellwether Wind Farm (wd:Q130720051)           | 3000.0 (xsd:decimal)  |","SELECT ?plant ?capacity WHERE {
  ?plant wdt:P31 wd:Q159719 ; wdt:P2109 ?capacity
}
ORDER BY DESC(?capacity)
LIMIT 5"
What are the discovered ring galaxies ?,Cartwheel Galaxy | NGC 6028 | [[Hoags Object]] | NGC 1512 | NGC 1433 | NGC 1533 | NGC 1350 | NGC 1386 | NGC 1387 | NGC 4622 | NGC 7217 | II Zw 28 | [[Mayalls Object]] | Arp 147 | NGC 4650A | NGC 660 | NGC 922 | LEDA 1000714 | NGC 1142 | NGC 3081 | NGC 7020 | NGC 7552 | NGC 7742,"NGC 985|NGC 985 (lang:en)
NGC 1015|NGC 1015 (lang:en)
PGC 16572|PGC 16572 (lang:en)
Cartwheel galaxy|Cartwheel galaxy (lang:en)
NGC 6028|NGC 6028 (lang:en)
PGC 1000714|PGC 1000714 (lang:en)
AM 0644-741|AM 0644-741 (lang:en)
Hoag's Object|Hoag's Object (lang:en)","| galaxy                         | galaxyLabel                |
| ------------------------------ | -------------------------- |
| NGC 985 (wd:Q1040716)          | NGC 985 (lang:en)          |
| NGC 1015 (wd:Q1040914)         | NGC 1015 (lang:en)         |
| PGC 16572 (wd:Q117323317)      | PGC 16572 (lang:en)        |
| Cartwheel galaxy (wd:Q1208155) | Cartwheel galaxy (lang:en) |
| NGC 6028 (wd:Q2415550)         | NGC 6028 (lang:en)         |
| PGC 1000714 (wd:Q28362230)     | PGC 1000714 (lang:en)      |
| AM 0644-741 (wd:Q295479)       | AM 0644-741 (lang:en)      |
| Hoag's Object (wd:Q872197)     | Hoag's Object (lang:en)    |","SELECT ?galaxy ?galaxyLabel WHERE {
  ?galaxy wdt:P31 wd:Q752374 .
  ?galaxy rdfs:label ?galaxyLabel .
  FILTER(LANG(?galaxyLabel) = ""en"")
}"
What are the caves with a depth of at least 3.1km ?,Krubera-Voronja Cave | Sarma cave | Gouffre Mirolda | Gouffre Jean-Bernard | Chevé Cave | Čehi 2 | Boybuloq | Siebenhengste-Hohgant-Höhle | Gouffre Berger,,,
What are geothermal power station with a capacity of at least 10 Mw ?,Cerro Prieto | Coso | Darajat | The Geysers | Hatchōbaru | Hellisheiði | Imperial Valley | Kawerau | Krafla | Malitbog | Mammoth | McGinness Hills | Mutnovskaya | Nesjavellir | Nga Awa Purua | Ngatamariki | Ohaaki | Pauzhetskaya | Poihipi | Puna | Reykjanes | San Emidio | Svartsengi | Te Huka | Te Mihi | Wairakei | Wayang Windu,,,"SELECT ?station WHERE {
  ?station wdt:P31 wd:Q30565277 .
  ?station wdt:P2109 ?power .
  ?power psn:P2109 ?value .
  ?power wdt:P2093 wd:Q12502 .
  FILTER(?value >= 10)
}"
What are all the sumo stables ?,Araiso | Arashio | Asahiyama | Asakayama | Dewanoumi | Fujishima | Futagoyama | Hakkaku | Irumagawa | Isegahama | Isenoumi | Kasugano | Kataonami | Kise | Kokonoe | Michinoku | Minato | Miyagino | Naruto | Nishiiwa | Nishikido | Nishonoseki | Oguruma | Oitekaze | Onoe | o Ōnomatsu | o Ōtake | Sadogatake | Sakaigawa | Shibatayama | Shikihide | Shikoroyama | Tagonoura | Takadagawa | Takasago | Tamanoi | Tatsunami | Tokitsukaze | Tokiwayama | Tomozuna | Yamahibiki,"Nakamura Stable|Nakamura Stable (lang:en)
Hatachiyama stable|Hatachiyama stable (lang:en)
Futagoyama stable|Futagoyama stable (lang:en)
Isegahama stable|Isegahama stable (lang:en)
Tokiwayama stable|Tokiwayama stable (lang:en)
...|...
Tokitsukaze stable|Tokitsukaze stable (lang:en)
Tomozuna stable|Tomozuna stable (lang:en)
Ōnomatsu stable|Ōnomatsu stable (lang:en)
Ōshima stable|Ōshima stable (lang:en)
Ōtake stable|Ōtake stable (lang:en)","| stable                            | stableLabel                  |
| --------------------------------- | ---------------------------- |
| Nakamura Stable (wd:Q11366049)    | Nakamura Stable (lang:en)    |
| Hatachiyama stable (wd:Q11371388) | Hatachiyama stable (lang:en) |
| Futagoyama stable (wd:Q11371450)  | Futagoyama stable (lang:en)  |
| Isegahama stable (wd:Q11378930)   | Isegahama stable (lang:en)   |
| Tokiwayama stable (wd:Q11406815)  | Tokiwayama stable (lang:en)  |
| ...                               | ...                          |
| Tokitsukaze stable (wd:Q7813610)  | Tokitsukaze stable (lang:en) |
| Tomozuna stable (wd:Q7820348)     | Tomozuna stable (lang:en)    |
| Ōnomatsu stable (wd:Q8081671)     | Ōnomatsu stable (lang:en)    |
| Ōshima stable (wd:Q8081707)       | Ōshima stable (lang:en)      |
| Ōtake stable (wd:Q8081744)        | Ōtake stable (lang:en)       |","SELECT ?stable ?stableLabel WHERE {
  ?stable wdt:P31 wd:Q1759559 .
  ?stable rdfs:label ?stableLabel .
  FILTER(LANG(?stableLabel) = 'en')
  .
}"
What are the tunnels with a length larger than 13 km ?,"Gotthard Base Tunnel | Seikan Tunnel | Channel Tunnel | Yulhyeon Tunnel | Lötschberg Base Tunnel | New Guanjiao Tunnel 新关角隧道 | Guadarrama Tunnel | West Qinling Tunnel 西秦岭隧道 | Taihang Tunnel 太行山隧道 | Hakkōda Tunnel | Iwate-Ichinohe Tunnel | Wushaoling Tunnel 乌鞘岭隧道 | Simplon, 2 tubes | Vereina | Apennine Base Tunnel | Mount Macdonald Tunnel | Fréjus | [[Mont dAmbin Base Tunnel]] https://www.telt-sas.com/en/the-first-9-km-of-the-base-tunnel-completed/ | Brenner Base Tunnel | Gaoligongshan Tunnel 高黎贡山隧道 | Koralm Tunnel | Oshima Tunnel | Blix Tunnel",,,"SELECT DISTINCT ?tunnel WHERE {
  ?tunnel wdt:P31 wd:Q130789 ; wdt:P2049 ?length .
  ?length wikibase:quantityAmount ?value ; wikibase:quantityUnit wd:Q363784 .
  FILTER(?value > 13000)
}"
Which weapons are of the type battle riffles ?,AVS-36 | CETME rifle | Desert Tech MDR | FM57 rifle | FN FAL | FN SCAR-H | Gewehr 41 | GRAM 63 battle rifle | Howa Type 64 | IWI ACE 52 | L1A1 Self-Loading Rifle | M1918 Browning Automatic Rifle | M1 Garand | M14 rifle | Madsen LAR | Mk 14 Enhanced Battle Rifle | Model 45A | SIG SG 510 | SIG SG 542 | SLEM-1 | SVT-40 | T48 rifle | Zastava M77 B1,"Heckler & Koch HK417 (lang:en)
Sako M23 (lang:en)
Mk 14 Enhanced Battle Rifle (lang:en)
Howa Type 64 (lang:en)
Zastava M05N (lang:en)
...
Saritch 308 (lang:en)
Sterling 7.62 (lang:en)
Zastava M77 (lang:en)
Beretta BM 59 (lang:en)
AG-3 (lang:en)","| weaponLabel                           |
| ------------------------------------- |
| Heckler & Koch HK417 (lang:en)        |
| Sako M23 (lang:en)                    |
| Mk 14 Enhanced Battle Rifle (lang:en) |
| Howa Type 64 (lang:en)                |
| Zastava M05N (lang:en)                |
| ...                                   |
| Saritch 308 (lang:en)                 |
| Sterling 7.62 (lang:en)               |
| Zastava M77 (lang:en)                 |
| Beretta BM 59 (lang:en)               |
| AG-3 (lang:en)                        |","SELECT ?weaponLabel WHERE {
  ?weapon wdt:P279 wd:Q1194268 ; rdfs:label ?weaponLabel .
  FILTER(LANG(?weaponLabel) = 'en')
  .
}"
